path_order,x,y,terrain_z,projected_chainage_m,distance_to_canonical_corridor_m,running_min_z,adverse_rise_from_running_min_m,is_controlling_saddle
0,335758.0,3141052.0,2678.376,2933.4650957933895,336.87910126398185,2678.376,0.0,False
1,335758.0,3140988.0,2682.5256,2985.7510390423345,373.7868259101839,2678.376,4.149658,False
2,335758.0,3140924.0,2696.56,3061.0131060665453,408.73518253040305,2678.376,18.184082,False
3,335758.0,3140860.0,2715.9438,3115.284997522871,442.65511469075466,2678.376,37.56787,False
4,335694.0,3140796.0,2728.2874,3135.6369568189934,530.8469383070864,2678.376,49.911377,False
5,335694.0,3140732.0,2735.6335,3189.908848275319,564.7668704674379,2678.376,57.25757,False
6,335694.0,3140668.0,2743.124,3203.264821563399,600.0833275470999,2678.376,64.74805,False
7,335694.0,3140604.0,2754.377,3203.264821563399,639.7280672285686,2678.376,76.00098,False
8,335694.0,3140540.0,2754.4248,3203.264821563399,683.0783264018849,2678.376,76.04883,False
9,335758.0,3140476.0,2756.5215,3289.531848868158,683.0651506262049,2678.376,78.14551,False
10,335822.0,3140412.0,2775.6504,3380.0415168600357,683.0651506262049,2678.376,97.274414,True
11,335886.0,3140348.0,2773.056,3520.2512435411995,677.2189877701151,2678.376,94.67993,False
12,335950.0,3140284.0,2768.6292,3610.5195877405754,670.6139869751909,2678.376,90.253174,False
13,336014.0,3140220.0,2762.6572,3700.7879319399517,664.0089861799624,2678.376,84.28125,False
14,336078.0,3140156.0,2766.9163,3760.723184467248,660.6169423543778,2678.376,88.54028,False
15,336142.0,3140092.0,2768.0176,3851.1998137035107,658.1716280506372,2678.376,89.6416,False
16,336206.0,3140092.0,2764.0034,3895.215471169801,611.7106562806777,2678.376,85.62744,False
17,336270.0,3140156.0,2759.2737,3892.770156866118,521.2340270444992,2678.376,80.897705,False
18,336334.0,3140220.0,2720.0425,3890.3248425624356,430.7573978079581,2678.376,41.666504,False
19,336398.0,3140284.0,2691.1157,3887.8795282587525,340.2807685717796,2678.376,12.739746,False
20,336462.0,3140284.0,2643.8726,3931.8951857250427,293.8197968018201,2643.8726,0.0,False
21,336526.0,3140284.0,2571.282,3967.810739560384,247.4914139924858,2571.282,0.0,False
22,336590.0,3140284.0,2531.0464,4002.523750139247,204.62406235976997,2531.0464,0.0,False
23,336654.0,3140284.0,2505.9673,4050.3579465350012,162.10477667442308,2505.9673,0.0,False
