path_order,x,y,terrain_z,downstream_progress_m,running_min_z,adverse_rise_m,fill_depth_m
0,335745.0,3141045.0,2676.365234375,0.7557353248379185,2676.365234375,0.0,16.024169921875
1,335745.0,3141015.0,2676.537353515625,27.863246495415492,2676.365234375,0.172119140625,15.85205078125
2,335745.0,3140985.0,2678.074951171875,54.97075766599307,2676.365234375,1.709716796875,14.314453125
3,335745.0,3140955.0,2682.22314453125,82.07826883657064,2676.365234375,5.85791015625,10.166259765625
4,335745.0,3140925.0,2689.133056640625,109.18578000714822,2676.365234375,12.767822265625,3.25634765625
5,335715.0,3140895.0,2696.179443359375,123.44094360473306,2676.365234375,19.814208984375,0.0
6,335715.0,3140865.0,2708.6064453125,150.54845477531063,2676.365234375,32.2412109375,0.0
7,335715.0,3140835.0,2721.2587890625,177.65596594588823,2676.365234375,44.8935546875,0.0
8,335685.0,3140805.0,2727.508056640625,191.91112954347307,2676.365234375,51.142822265625,0.0
9,335685.0,3140775.0,2726.978271484375,219.01864071405063,2676.365234375,50.613037109375,0.52978515625
10,335655.0,3140745.0,2728.367431640625,233.27380431163547,2676.365234375,52.002197265625,0.0
11,335655.0,3140715.0,2732.537841796875,260.38131548221304,2676.365234375,56.172607421875,0.0
12,335625.0,3140685.0,2737.039306640625,274.6364790797979,2676.365234375,60.674072265625,0.0
13,335625.0,3140655.0,2741.1787109375,301.7439902503755,2676.365234375,64.8134765625,0.0
14,335625.0,3140625.0,2746.965576171875,328.85150142095307,2676.365234375,70.600341796875,0.0
15,335625.0,3140595.0,2751.626953125,355.9590125915306,2676.365234375,75.26171875,0.0
16,335625.0,3140565.0,2754.738525390625,383.0665237621082,2676.365234375,78.373291015625,0.0
17,335625.0,3140535.0,2756.083740234375,410.1740349326858,2676.365234375,79.718505859375,0.0
18,335655.0,3140505.0,2755.232666015625,450.1338936762561,2676.365234375,78.867431640625,0.85107421875
19,335685.0,3140505.0,2749.64794921875,462.9862412492488,2676.365234375,73.28271484375,6.435791015625
20,335715.0,3140505.0,2749.127685546875,475.83858882224155,2676.365234375,72.762451171875,6.9560546875
21,335745.0,3140475.0,2749.549072265625,515.7984475658119,2676.365234375,73.183837890625,6.53466796875
22,335775.0,3140445.0,2760.0625,555.7583063093822,2676.365234375,83.697265625,0.0
23,335805.0,3140415.0,2770.642333984375,595.7181650529525,2676.365234375,94.277099609375,0.0
24,335835.0,3140385.0,2773.445556640625,635.6780237965228,2676.365234375,97.080322265625,0.0
25,335865.0,3140355.0,2771.97705078125,675.6378825400931,2676.365234375,95.61181640625,0.0
26,335895.0,3140325.0,2770.309814453125,715.5977412836634,2676.365234375,93.944580078125,0.0
27,335925.0,3140295.0,2767.17041015625,755.5576000272337,2676.365234375,90.80517578125,0.3974609375
28,335955.0,3140265.0,2766.72802734375,795.517458770804,2676.365234375,90.36279296875,0.83984375
29,335985.0,3140235.0,2761.650146484375,835.4773175143742,2676.365234375,85.284912109375,5.917724609375
30,336015.0,3140205.0,2755.681640625,875.4371762579445,2676.365234375,79.31640625,11.88623046875
31,336045.0,3140175.0,2759.050537109375,915.3970350015148,2676.365234375,82.685302734375,8.517333984375
32,336075.0,3140145.0,2763.27734375,955.3568937450851,2676.365234375,86.912109375,4.29052734375
33,336105.0,3140115.0,2762.16357421875,995.3167524886555,2676.365234375,85.79833984375,5.404296875
34,336135.0,3140085.0,2767.835693359375,1035.2766112322258,2676.365234375,91.470458984375,0.0
35,336165.0,3140055.0,2771.54638671875,1075.2364699757961,2676.365234375,95.18115234375,0.0
36,336195.0,3140025.0,2765.380126953125,1115.1963287193664,2676.365234375,89.014892578125,0.0
37,336225.0,3139995.0,2759.353515625,1155.1561874629367,2676.365234375,82.98828125,0.0
38,336255.0,3139965.0,2752.78662109375,1195.116046206507,2676.365234375,76.42138671875,0.0
39,336285.0,3139935.0,2746.80322265625,1235.0759049500773,2676.365234375,70.43798828125,0.0
40,336315.0,3139905.0,2742.536376953125,1275.0357636936476,2676.365234375,66.171142578125,0.0
41,336345.0,3139875.0,2737.119873046875,1314.995622437218,2676.365234375,60.754638671875,0.0
42,336375.0,3139845.0,2734.67626953125,1354.9554811807882,2676.365234375,58.31103515625,0.0
43,336405.0,3139815.0,2733.171875,1394.9153399243585,2676.365234375,56.806640625,0.0
44,336435.0,3139785.0,2725.881591796875,1434.8751986679288,2676.365234375,49.516357421875,0.0
45,336465.0,3139755.0,2715.005859375,1474.835057411499,2676.365234375,38.640625,0.0
46,336495.0,3139725.0,2701.954833984375,1514.7949161550694,2676.365234375,25.589599609375,0.0
47,336525.0,3139695.0,2694.235107421875,1554.7547748986397,2676.365234375,17.869873046875,0.0
48,336555.0,3139665.0,2677.816162109375,1594.7146336422102,2676.365234375,1.450927734375,0.0
49,336585.0,3139635.0,2652.4462890625,1634.6744923857802,2652.4462890625,0.0,0.0
50,336615.0,3139605.0,2633.323974609375,1674.6343511293508,2633.323974609375,0.0,0.0
51,336645.0,3139575.0,2617.601806640625,1714.594209872921,2617.601806640625,0.0,0.0
52,336675.0,3139545.0,2604.163818359375,1754.5540686164913,2604.163818359375,0.0,0.0
53,336705.0,3139515.0,2586.324951171875,1794.5139273600616,2586.324951171875,0.0,0.0
54,336735.0,3139485.0,2560.497802734375,1834.473786103632,2560.497802734375,0.0,0.0
