chainage_m,corridor_x,corridor_y,native_corridor_z,native_cross_min_z,native_cross_min_x,native_cross_min_y,native_min_128_z,native_min_128_x,native_min_128_y,native_min_256_z,native_min_256_x,native_min_256_y,native_min_512_z,native_min_512_x,native_min_512_y,m32_corridor_z,m32_cross_min_z,m32_cross_min_x,m32_cross_min_y,m32_min_128_z,m32_min_128_x,m32_min_128_y,m32_min_256_z,m32_min_256_x,m32_min_256_y,m32_min_512_z,m32_min_512_x,m32_min_512_y,m64_corridor_z,m64_cross_min_z,m64_cross_min_x,m64_cross_min_y,m64_min_128_z,m64_min_128_x,m64_min_128_y,m64_min_256_z,m64_min_256_x,m64_min_256_y,m64_min_512_z,m64_min_512_x,m64_min_512_y
2200.0,335577.65256111894,3141819.8643901167,2764.05029296875,2676.296875,335310.86488623195,3141519.728255869,2743.441650390625,335535.0,3141705.0,2697.448974609375,335445.0,3141615.0,2676.296875,335325.0,3141525.0,2763.078125,2678.01123046875,335310.86488623195,3141519.728255869,2741.5869140625,335518.0,3141708.0,2699.191650390625,335454.0,3141612.0,2678.01123046875,335326.0,3141516.0,2763.884765625,2682.28662109375,335280.85127280717,3141485.962940766,2751.618408203125,335502.0,3141756.0,2701.96826171875,335438.0,3141628.0,2682.28662109375,335310.0,3141500.0
2225.0,335596.337794086,3141803.2552941456,2763.217041015625,2676.296875,335336.2198110712,3141510.622563254,2743.441650390625,335535.0,3141705.0,2697.42626953125,335475.0,3141585.0,2676.296875,335325.0,3141525.0,2763.078125,2678.01123046875,335329.55011919903,3141503.119159898,2741.5869140625,335518.0,3141708.0,2699.17822265625,335486.0,3141580.0,2678.01123046875,335326.0,3141516.0,2763.884765625,2682.28662109375,335299.53650577425,3141469.353844795,2750.6455078125,335694.0,3141756.0,2701.96826171875,335438.0,3141628.0,2682.28662109375,335310.0,3141500.0
2250.0,335613.16419122776,3141784.8105485835,2763.922119140625,2676.296875,335313.4964263191,3141525.0984856626,2743.23876953125,335565.0,3141675.0,2697.42626953125,335475.0,3141585.0,2676.296875,335325.0,3141525.0,2759.125,2678.01123046875,335313.4964263191,3141525.0984856626,2739.63671875,335550.0,3141676.0,2699.17822265625,335486.0,3141580.0,2678.01123046875,335326.0,3141516.0,2756.92626953125,2682.28662109375,335279.3570606966,3141495.5110354563,2747.16259765625,335566.0,3141692.0,2700.0078125,335502.0,3141564.0,2682.28662109375,335310.0,3141500.0
2275.0,335629.5374546882,3141765.9183215136,2758.07275390625,2676.296875,335337.4562154735,3141512.7812475273,2736.75830078125,335595.0,3141645.0,2697.42626953125,335475.0,3141585.0,2676.296875,335325.0,3141525.0,2759.125,2678.01123046875,335326.07642693265,3141502.9187641256,2739.63671875,335550.0,3141676.0,2693.59814453125,335454.0,3141580.0,2678.01123046875,335326.0,3141516.0,2756.92626953125,2682.28662109375,335288.14379846316,3141470.0438194517,2747.16259765625,335566.0,3141692.0,2700.0078125,335502.0,3141564.0,2682.28662109375,335310.0,3141500.0
2300.0,335645.91071814863,3141747.026094444,2752.013916015625,2681.0654296875,335372.7957931686,3141510.326492795,2736.75830078125,335595.0,3141645.0,2697.42626953125,335475.0,3141585.0,2676.296875,335325.0,3141525.0,2753.613525390625,2680.319580078125,335361.41600462777,3141500.4640093925,2736.02685546875,335582.0,3141644.0,2691.94873046875,335486.0,3141548.0,2678.01123046875,335326.0,3141516.0,2756.92626953125,2682.28662109375,335327.2766390052,3141470.8765591867,2747.16259765625,335566.0,3141692.0,2700.0078125,335502.0,3141564.0,2682.28662109375,335310.0,3141500.0
2325.0,335662.2839816091,3141728.133867374,2752.013916015625,2682.1142578125,335430.89494794543,3141527.596704866,2732.386962890625,335625.0,3141615.0,2690.6083984375,335475.0,3141555.0,2676.296875,335325.0,3141525.0,2750.2978515625,2682.6689453125,335408.1353708638,3141507.871738062,2736.02685546875,335582.0,3141644.0,2691.94873046875,335486.0,3141548.0,2678.01123046875,335326.0,3141516.0,2750.6455078125,2682.786376953125,335408.1353708638,3141507.871738062,2735.106201171875,335630.0,3141628.0,2699.111328125,335694.0,3141500.0,2682.28662109375,335310.0,3141500.0
2350.0,335678.6572450695,3141709.241640304,2749.63720703125,2680.076416015625,335432.09516001807,3141495.5544999265,2729.212158203125,335655.0,3141585.0,2690.6083984375,335475.0,3141555.0,2676.296875,335325.0,3141525.0,2750.252197265625,2682.04736328125,335439.68168571196,3141502.129488861,2730.292724609375,335614.0,3141612.0,2691.94873046875,335486.0,3141548.0,2678.01123046875,335326.0,3141516.0,2749.13623046875,2682.786376953125,335409.3355829364,3141475.829533122,2735.106201171875,335630.0,3141628.0,2699.111328125,335694.0,3141500.0,2682.28662109375,335310.0,3141500.0
2375.0,335695.03050853,3141690.3494132347,2749.63720703125,2680.076416015625,335456.0549491724,3141483.2372617917,2724.5966796875,335625.0,3141585.0,2691.46630859375,335505.0,3141525.0,2676.296875,335325.0,3141525.0,2749.722412109375,2681.5615234375,335440.88189778465,3141470.0872839224,2726.06884765625,335646.0,3141580.0,2691.94873046875,335486.0,3141548.0,2678.01123046875,335326.0,3141516.0,2749.13623046875,2682.786376953125,335440.88189778465,3141470.0872839224,2735.106201171875,335630.0,3141628.0,2699.111328125,335694.0,3141500.0,2682.28662109375,335310.0,3141500.0
2400.0,335711.40377199044,3141671.457186165,2749.6650390625,2682.21142578125,335461.04842409206,3141454.4825513195,2717.065673828125,335745.0,3141555.0,2691.3173828125,335625.0,3141435.0,2676.296875,335325.0,3141525.0,2749.722412109375,2682.402099609375,335480.0147383268,3141470.9200236565,2726.06884765625,335646.0,3141580.0,2692.413818359375,335646.0,3141452.0,2678.01123046875,335326.0,3141516.0,2749.13623046875,2687.22265625,335480.0147383268,3141470.9200236565,2735.106201171875,335630.0,3141628.0,2699.111328125,335694.0,3141500.0,2682.28662109375,335310.0,3141500.0
2425.0,335727.77703545085,3141652.5649590953,2750.019287109375,2683.0,335496.3880017872,3141452.027796587,2717.065673828125,335745.0,3141555.0,2691.3173828125,335625.0,3141435.0,2676.296875,335325.0,3141525.0,2747.40771484375,2685.56787109375,335481.2149503994,3141438.8778187176,2713.141357421875,335742.0,3141548.0,2692.413818359375,335646.0,3141452.0,2678.01123046875,335326.0,3141516.0,2740.841064453125,2687.22265625,335515.35431602196,3141468.4652689234,2720.909423828125,335758.0,3141564.0,2694.269287109375,335630.0,3141436.0,2682.28662109375,335310.0,3141500.0
