path_order,x,y,terrain_z,downstream_progress_m,running_min_z,adverse_rise_m
0,335774.0,3141036.0,2677.519775390625,21.311924663237495,2677.519775390625,0.0
1,335742.0,3141004.0,2676.94189453125,36.51743250066133,2676.94189453125,0.0
2,335742.0,3140972.0,2679.345703125,65.43211108261075,2676.94189453125,2.40380859375
3,335710.0,3140940.0,2682.36474609375,80.63761892003458,2676.94189453125,5.4228515625
4,335710.0,3140908.0,2692.58349609375,109.552297501984,2676.94189453125,15.6416015625
5,335710.0,3140876.0,2704.66259765625,138.46697608393342,2676.94189453125,27.720703125
6,335678.0,3140844.0,2721.184326171875,153.67248392135724,2676.94189453125,44.242431640625
7,335678.0,3140812.0,2726.953369140625,182.58716250330667,2676.94189453125,50.011474609375
8,335678.0,3140780.0,2727.156982421875,211.50184108525607,2676.94189453125,50.215087890625
9,335678.0,3140748.0,2729.4541015625,240.41651966720548,2676.94189453125,52.51220703125
10,335678.0,3140716.0,2733.68701171875,269.3311982491549,2676.94189453125,56.7451171875
11,335678.0,3140684.0,2737.90283203125,298.24587683110434,2676.94189453125,60.9609375
12,335678.0,3140652.0,2744.320068359375,327.1605554130537,2676.94189453125,67.378173828125
13,335678.0,3140620.0,2750.787353515625,356.07523399500315,2676.94189453125,73.845458984375
14,335678.0,3140588.0,2754.98876953125,384.9899125769526,2676.94189453125,78.046875
15,335678.0,3140556.0,2756.23828125,413.90459115890195,2676.94189453125,79.29638671875
16,335710.0,3140524.0,2751.53515625,456.52844048537696,2676.94189453125,74.59326171875
17,335742.0,3140492.0,2752.09619140625,499.152289811852,2676.94189453125,75.154296875
18,335774.0,3140460.0,2759.862548828125,541.7761391383269,2676.94189453125,82.920654296875
19,335806.0,3140428.0,2771.4091796875,584.3999884648019,2676.94189453125,94.46728515625
20,335838.0,3140396.0,2775.18359375,627.023837791277,2676.94189453125,98.24169921875
21,335870.0,3140364.0,2772.878173828125,669.647687117752,2676.94189453125,95.936279296875
22,335902.0,3140332.0,2769.942626953125,712.2715364442269,2676.94189453125,93.000732421875
23,335934.0,3140300.0,2767.107666015625,754.8953857707019,2676.94189453125,90.165771484375
24,335966.0,3140268.0,2766.876708984375,797.5192350971769,2676.94189453125,89.934814453125
25,335998.0,3140236.0,2762.205810546875,840.1430844236519,2676.94189453125,85.263916015625
26,336030.0,3140204.0,2760.23681640625,882.7669337501269,2676.94189453125,83.294921875
27,336062.0,3140172.0,2764.750732421875,925.3907830766018,2676.94189453125,87.808837890625
28,336094.0,3140140.0,2765.32958984375,968.0146324030768,2676.94189453125,88.3876953125
29,336126.0,3140108.0,2764.796630859375,1010.6384817295518,2676.94189453125,87.854736328125
30,336158.0,3140076.0,2769.192626953125,1053.2623310560268,2676.94189453125,92.250732421875
31,336190.0,3140044.0,2766.096435546875,1095.8861803825018,2676.94189453125,89.154541015625
32,336222.0,3140012.0,2760.816162109375,1138.5100297089768,2676.94189453125,83.874267578125
33,336254.0,3139980.0,2754.23583984375,1181.1338790354519,2676.94189453125,77.2939453125
34,336286.0,3139948.0,2746.779296875,1223.7577283619269,2676.94189453125,69.83740234375
35,336318.0,3139916.0,2741.049560546875,1266.3815776884019,2676.94189453125,64.107666015625
36,336350.0,3139884.0,2735.505615234375,1309.005427014877,2676.94189453125,58.563720703125
37,336382.0,3139852.0,2731.3837890625,1351.6292763413517,2676.94189453125,54.44189453125
38,336414.0,3139820.0,2728.31298828125,1394.2531256678267,2676.94189453125,51.37109375
39,336446.0,3139788.0,2720.804931640625,1436.8769749943017,2676.94189453125,43.863037109375
40,336478.0,3139756.0,2709.226318359375,1479.5008243207767,2676.94189453125,32.284423828125
41,336510.0,3139724.0,2698.4521484375,1522.1246736472517,2676.94189453125,21.51025390625
42,336542.0,3139692.0,2688.52099609375,1564.7485229737267,2676.94189453125,11.5791015625
43,336574.0,3139660.0,2667.3017578125,1607.3723723002017,2667.3017578125,0.0
44,336606.0,3139628.0,2641.46630859375,1649.9962216266767,2641.46630859375,0.0
45,336638.0,3139596.0,2622.912109375,1692.6200709531518,2622.912109375,0.0
46,336670.0,3139564.0,2609.059326171875,1735.2439202796268,2609.059326171875,0.0
47,336702.0,3139532.0,2592.937255859375,1777.8677696061018,2592.937255859375,0.0
48,336734.0,3139500.0,2567.552734375,1820.4916189325768,2567.552734375,0.0
