path_order,x,y,terrain_z,downstream_progress_m,running_min_z,adverse_rise_m,fill_depth_m
0,335774.0,3141036.0,2677.519775390625,21.311924663237495,2677.519775390625,0.0,15.7255859375
1,335774.0,3141004.0,2682.28369140625,50.22660324518691,2677.519775390625,4.763916015625,10.961669921875
2,335774.0,3140972.0,2691.53125,79.14128182713632,2677.519775390625,14.011474609375,1.714111328125
3,335742.0,3140940.0,2685.1259765625,94.34678966456016,2677.519775390625,7.606201171875,8.119384765625
4,335710.0,3140908.0,2692.58349609375,109.552297501984,2677.519775390625,15.063720703125,0.661865234375
5,335710.0,3140876.0,2704.66259765625,138.46697608393342,2677.519775390625,27.142822265625,0.0
6,335678.0,3140844.0,2721.184326171875,153.67248392135724,2677.519775390625,43.66455078125,0.0
7,335678.0,3140812.0,2726.953369140625,182.58716250330667,2677.519775390625,49.43359375,0.0
8,335678.0,3140780.0,2727.156982421875,211.50184108525607,2677.519775390625,49.63720703125,0.0
9,335678.0,3140748.0,2729.4541015625,240.41651966720548,2677.519775390625,51.934326171875,0.0
10,335678.0,3140716.0,2733.68701171875,269.3311982491549,2677.519775390625,56.167236328125,0.0
11,335678.0,3140684.0,2737.90283203125,298.24587683110434,2677.519775390625,60.383056640625,0.0
12,335678.0,3140652.0,2744.320068359375,327.1605554130537,2677.519775390625,66.80029296875,0.0
13,335678.0,3140620.0,2750.787353515625,356.07523399500315,2677.519775390625,73.267578125,0.0
14,335678.0,3140588.0,2754.98876953125,384.9899125769526,2677.519775390625,77.468994140625,0.0
15,335678.0,3140556.0,2756.23828125,413.90459115890195,2677.519775390625,78.718505859375,0.0
16,335710.0,3140524.0,2751.53515625,456.52844048537696,2677.519775390625,74.015380859375,4.703125
17,335742.0,3140492.0,2752.09619140625,499.152289811852,2677.519775390625,74.576416015625,4.14208984375
18,335774.0,3140460.0,2759.862548828125,541.7761391383269,2677.519775390625,82.3427734375,0.0
19,335806.0,3140428.0,2771.4091796875,584.3999884648019,2677.519775390625,93.889404296875,0.0
20,335838.0,3140396.0,2775.18359375,627.023837791277,2677.519775390625,97.663818359375,0.0
21,335870.0,3140364.0,2772.878173828125,669.647687117752,2677.519775390625,95.3583984375,0.0
22,335902.0,3140332.0,2769.942626953125,712.2715364442269,2677.519775390625,92.4228515625,0.0
23,335934.0,3140300.0,2767.107666015625,754.8953857707019,2677.519775390625,89.587890625,0.18115234375
24,335966.0,3140268.0,2766.876708984375,797.5192350971769,2677.519775390625,89.35693359375,0.412109375
25,335998.0,3140236.0,2762.205810546875,840.1430844236519,2677.519775390625,84.68603515625,5.0830078125
26,336030.0,3140204.0,2760.23681640625,882.7669337501269,2677.519775390625,82.717041015625,7.052001953125
27,336062.0,3140172.0,2764.750732421875,925.3907830766018,2677.519775390625,87.23095703125,2.5380859375
28,336094.0,3140140.0,2765.32958984375,968.0146324030768,2677.519775390625,87.809814453125,1.959228515625
29,336126.0,3140108.0,2764.796630859375,1010.6384817295518,2677.519775390625,87.27685546875,2.4921875
30,336158.0,3140076.0,2769.192626953125,1053.2623310560268,2677.519775390625,91.6728515625,0.0
31,336190.0,3140044.0,2766.096435546875,1095.8861803825018,2677.519775390625,88.57666015625,0.0
32,336222.0,3140012.0,2760.816162109375,1138.5100297089768,2677.519775390625,83.29638671875,0.0
33,336254.0,3139980.0,2754.23583984375,1181.1338790354519,2677.519775390625,76.716064453125,0.0
34,336286.0,3139948.0,2746.779296875,1223.7577283619269,2677.519775390625,69.259521484375,0.0
35,336318.0,3139916.0,2741.049560546875,1266.3815776884019,2677.519775390625,63.52978515625,0.0
36,336350.0,3139884.0,2735.505615234375,1309.005427014877,2677.519775390625,57.98583984375,0.0
37,336382.0,3139852.0,2731.3837890625,1351.6292763413517,2677.519775390625,53.864013671875,0.0
38,336414.0,3139820.0,2728.31298828125,1394.2531256678267,2677.519775390625,50.793212890625,0.0
39,336446.0,3139788.0,2720.804931640625,1436.8769749943017,2677.519775390625,43.28515625,0.0
40,336478.0,3139756.0,2709.226318359375,1479.5008243207767,2677.519775390625,31.70654296875,0.0
41,336510.0,3139724.0,2698.4521484375,1522.1246736472517,2677.519775390625,20.932373046875,0.0
42,336542.0,3139692.0,2688.52099609375,1564.7485229737267,2677.519775390625,11.001220703125,0.0
43,336574.0,3139660.0,2667.3017578125,1607.3723723002017,2667.3017578125,0.0,0.0
44,336606.0,3139628.0,2641.46630859375,1649.9962216266767,2641.46630859375,0.0,0.0
45,336638.0,3139596.0,2622.912109375,1692.6200709531518,2622.912109375,0.0,0.0
46,336670.0,3139564.0,2609.059326171875,1735.2439202796268,2609.059326171875,0.0,0.0
47,336702.0,3139532.0,2592.937255859375,1777.8677696061018,2592.937255859375,0.0,0.0
48,336734.0,3139500.0,2567.552734375,1820.4916189325768,2567.552734375,0.0,0.0
