time_s,wet_volume_m3,moving_volume_gt_05_m3,moving_volume_gt_2_m3,com_x_m,com_y_m,com_elevation_m,mean_speed_moving_ms,p90_speed_ms,p99_speed_ms,max_depth_m,wet_area_m2,area_h_gt_1_m2,area_h_gt_3_m2,potential_energy_proxy,kinetic_energy_proxy,river_front_m,d8_front_m,wet_median_river_offset_m,wet_median_d8_offset_m,wet_fraction_river_gt_400
0.0,1000000.000385024,1000000.000385024,1000000.000385024,334051.9444320187,3143391.64493971,2823.8634662378486,25.000243998809296,25.000243998809296,25.0002439988093,10.47281395,249856.0,200704.0,131072.0,57952794485448.8,653762761451.7144,349.74502203453477,490.03867196751236,146.46456743295929,163.1686244349691,0.0
10.0,981898.7498128652,978822.3152361417,976172.242365452,334041.60310399724,3143154.182688007,2769.211869773088,16.360026018837083,29.837865773252613,30.446750792082046,15.63762738807322,409600.0,155648.0,94208.0,55803350823177.055,465331307033.53613,571.5439559880141,716.3128419472076,209.76219734965707,135.7645019878171,0.03
20.0,961581.168573937,961502.0794418878,955709.0521859353,334134.60762696265,3143060.124779702,2758.25915640662,10.70077742990564,23.882763463426354,27.676135575820364,14.74621640430507,466944.0,200704.0,122880.0,54435422968104.67,331838818760.3526,808.1930580089667,1049.5676759431467,206.28810413937964,135.7645019878171,0.03508771929824561
30.0,961654.758017086,960833.1453091564,955272.4246784516,334261.1391542744,3143035.127705161,2744.718864733905,9.529644297260749,22.06413074590435,26.367766158095595,14.29491088434848,512000.0,176128.0,122880.0,54172759853817.58,321558575427.1043,988.1360999553465,1172.0773439350248,195.2794046438971,135.7645019878171,0.04
40.0,968576.6762301051,968014.6753216102,885785.4775721164,334379.80040435534,3143002.3289583744,2741.6680430036163,8.056724775618202,19.448286129263842,24.52196996377145,17.64616068109232,577536.0,196608.0,110592.0,54508895860877.484,243009898767.0498,1076.57760406664,1204.0773439350248,187.81420900986882,135.7645019878171,0.07092198581560284
50.0,980749.8027606163,978471.8201549167,899923.7782416727,334453.96700507205,3142969.45932506,2738.816238935814,6.734673484449845,15.476184175222965,19.6690862794375,17.45549167792226,598016.0,208896.0,114688.0,55141183054665.42,128987818634.99934,1184.257100550633,1236.0773439350248,189.00834200193793,160.0,0.0958904109589041
60.0,984068.7259973858,913185.5943056863,904154.4945707651,334485.7043807284,3142929.641111824,2735.3786074028503,6.07801628899843,14.267975381842716,16.805228889796616,16.32922919476566,634880.0,200704.0,122880.0,55262840528020.42,99134277327.48969,1203.4950929233323,1371.841845922842,185.39804099615,160.0,0.0967741935483871
70.0,984935.0803902544,918710.2694212416,898574.8556494906,334505.4190889204,3142897.0004580086,2732.5305494672734,5.519485429583547,12.866728548694438,15.427121980650126,15.23189661454141,659456.0,200704.0,110592.0,55255199218098.53,84887583375.29626,1241.9710776687311,1571.6063479106592,195.2794046438971,160.0,0.11180124223602485
80.0,977288.9934709142,912690.3921281704,817888.2111313584,334521.85390189296,3142864.5938928416,2730.0710086929753,5.5960850953118575,12.072564134453016,14.901362825737072,14.13934082945502,696320.0,212992.0,122880.0,54782700638195.45,75815912961.62074,1349.6505741527242,1758.1160159025374,206.16468830526685,160.0,0.13529411764705881
90.0,968811.6566381389,903368.0831300511,854709.8491149496,334533.09210666636,3142828.336719562,2727.6983177180336,5.638116192210678,10.776559537687197,17.16645431132389,13.81285215102123,704512.0,217088.0,114688.0,54258798026123.555,72086043828.66245,1403.4903223947208,1989.8805178903544,210.37362341188816,160.0,0.1511627906976744
100.0,959093.4027908718,898277.1142629486,839404.180005206,334541.64921301766,3142786.228336726,2725.5256558106207,5.560574144720502,10.667304839328688,16.245597789327128,12.39052697599143,729088.0,221184.0,118784.0,53678502527205.086,73084347016.71455,1491.9318265060142,2080.390185882233,210.37362341188816,160.0,0.15730337078651685
110.0,953988.0146876613,891626.9867937565,827905.6488235232,334549.81142063875,3142745.6115822876,2723.2161987245904,5.521398833981193,10.72669479069866,16.44299371510973,12.39580416516197,716800.0,221184.0,122880.0,53347600407844.26,66632103813.670296,1545.7715747480108,2125.6450198781718,217.55465674510677,160.0,0.1657142857142857
120.0,947459.1948271572,847043.7948493765,814549.8441625624,334559.86744178855,3142707.579105057,2721.125466236963,5.616118879860233,10.65672040968617,16.59974584514338,11.81154625703717,700416.0,212992.0,118784.0,52938725445610.23,60749348219.27516,1634.2130788593045,2216.1546878700497,229.20396218707006,160.0,0.16374269005847952
130.0,944833.8094300535,809779.3251615538,786969.8488439228,334568.23570120777,3142675.351176688,2719.092675029216,5.24848972201452,9.086125516788682,16.90141481763377,11.65437813143635,716800.0,196608.0,135168.0,52759463130516.016,52168369785.49709,1722.064324071833,2306.6643558619276,236.38397764819896,160.0,0.17714285714285713
140.0,942214.7316717992,737350.3588080899,733319.5706478035,334578.08332746284,3142642.7403076766,2717.399182779128,5.395307683117618,8.352728233226998,16.201086147514506,12.06181354881438,716800.0,204800.0,122880.0,52582700755005.64,49348483133.87101,1722.064324071833,2306.6643558619276,236.6691578210984,160.0,0.17714285714285713
150.0,941326.9648344194,755773.1986943057,698158.9047920174,334586.7607754066,3142611.6762448982,2715.9396064316666,5.421275351934952,8.79184226010485,15.822709316302351,11.7098202889487,708608.0,200704.0,126976.0,52506055715249.31,46648061757.07158,1722.064324071833,2306.6643558619276,238.5468742932889,135.7645019878171,0.1791907514450867
160.0,940985.8599746999,755026.6192003558,693271.9956453497,334594.2559555216,3142582.906151116,2714.595914787513,5.410287442644118,7.666852347365273,15.72057684433009,12.29443894635781,704512.0,196608.0,122880.0,52463579986741.05,40237560576.74528,1722.064324071833,2306.6643558619276,243.92199402192517,160.0,0.18023255813953487
170.0,941496.6390951009,754991.2056789616,634210.1367914244,334602.3169267934,3142558.361996454,2713.4727060026607,5.398131598334046,7.5117384277534,14.763411161057832,13.14125046710216,704512.0,180224.0,122880.0,52471391050894.19,31929001214.554268,1775.8471240631234,2351.9191898578665,243.92199402192517,147.88225099390854,0.1744186046511628
180.0,941221.9007890403,702885.7350580709,483572.12673430116,334610.0790689956,3142536.8421051265,2712.44535828139,5.059114160966852,7.815385118306587,13.047581566177968,13.94078574157744,700416.0,176128.0,122880.0,52436776308285.484,24021864690.611656,1845.2275370078976,2442.4288578497444,262.9877385617148,135.7645019878171,0.17543859649122806
190.0,941024.4566436734,611836.5626943316,440237.3962099298,334615.66442113946,3142519.4783516917,2711.648280141118,5.284950559117143,7.678897561382665,13.424118057410782,13.53993667734327,684032.0,184320.0,126976.0,52409479182535.67,21834554466.56541,1899.010336999188,2487.6836918456834,266.36949395604455,135.7645019878171,0.17365269461077845
