scenario_id,source_volume_m3,prescribed_initial_speed_ms,solver_completed,finite_fields,maximum_CFL,actual_discrete_initial_volume_m3,maximum_front_distance_m,final_front_distance_m,front_60_s_m,front_120_s_m,front_240_s_m,front_420_s_m,front_600_s_m,proxy_reached,arrival_time_s,proxy_peak_discharge_m3s,proxy_peak_depth_m,proxy_peak_speed_ms,maximum_wet_area_m2,raw_max_speed_ms,max_speed_h_gt_01_ms,max_speed_h_gt_1_ms,p99_speed_h_gt_01_ms,runtime_s
M1,1000000.0,8.0,True,True,0.61154,1000000.000385024,1672.2189477989402,1672.2189477989402,1064.0970711980347,1310.5847624027317,1672.2189477989402,1672.2189477989402,1672.2189477989402,False,,0.0,0.0,0.0,679936.0,30.221478423092265,30.221478423092265,30.221478423092265,20.451587749732745,54.01965466886759
M2,1000000.0,15.0,True,True,0.60772,1000000.000385024,1672.2189477989402,1672.2189477989402,1116.3784209109826,1362.8661121156802,1672.2189477989402,1672.2189477989402,1672.2189477989402,False,,0.0,0.0,0.0,696320.0,32.20018539543804,32.20018539543804,32.20018539543804,22.672136291606954,56.2631835564971
M3,1000000.0,25.0,True,True,0.5387,1000000.000385024,2323.6514992890775,2323.6514992890775,1168.6597706239306,1586.9105683275163,2015.8675228474724,2195.875087354865,2323.6514992890775,False,,0.0,0.0,0.0,729088.0,30.545346072204666,30.545346072204666,30.545346072204666,25.000243998809296,52.32021003589034
M4,3000000.0,8.0,True,True,0.52441,2999999.9888179204,2571.979861050811,2571.979861050811,1183.5788279839744,1724.4449976357203,2363.835482564918,2571.979861050811,2571.979861050811,False,,0.0,0.0,0.0,929792.0,31.670256226658275,31.670256226658275,31.670256226658275,22.929270118290525,52.61416444554925
M5,3000000.0,15.0,True,True,0.6398,2999999.9888179204,2571.979861050811,2571.979861050811,1321.7417309463667,1877.7293292485592,2491.6118944991304,2571.979861050811,2571.979861050811,False,,0.0,0.0,0.0,1253376.0,31.530008061272227,31.530008061272227,31.530008061272227,24.678574057048934,59.3320483751595
M6,3000000.0,25.0,True,True,0.55192,2999999.9888179204,2612.163844326651,2612.163844326651,1392.704226835767,2051.7857193260447,2612.163844326651,2612.163844326651,2612.163844326651,False,,0.0,0.0,0.0,1712128.0,32.377947539217914,32.377947539217914,32.377947539217914,26.071414069904094,68.805523943156
