time_s,wet_volume_m3,moving_volume_gt_05_m3,moving_volume_gt_2_m3,com_x_m,com_y_m,com_elevation_m,mean_speed_moving_ms,p90_speed_ms,p99_speed_ms,max_depth_m,wet_area_m2,area_h_gt_1_m2,area_h_gt_3_m2,potential_energy_proxy,kinetic_energy_proxy,river_front_m,d8_front_m,wet_median_river_offset_m,wet_median_d8_offset_m,wet_fraction_river_gt_400
0.0,1000000.000385024,1000000.000385024,1000000.000385024,334051.9444320187,3143391.64493971,2823.8634662378486,15.000146399285573,15.000146399285578,15.000146399285581,10.47281395,249856.0,200704.0,131072.0,57952794485448.8,235354594122.6172,349.74502203453477,490.03867196751236,146.46456743295929,163.1686244349691,0.0
10.0,956282.3165674731,956010.397856206,949921.1372946869,334010.7921437206,3143209.8678842117,2771.3160144627527,15.653380474553604,29.322925534392077,32.07145381444607,21.39309276842031,380928.0,143360.0,86016.0,54387980755218.805,324212665409.6411,522.7291187770763,671.0580079512686,203.18138629081537,163.1686244349691,0.021505376344086023
20.0,917724.4728804284,917230.75520842,911441.5056126,334086.7125596861,3143147.2678046892,2756.686691070478,9.346848999003058,20.02600295781143,26.273411920292688,20.41118494749367,438272.0,147456.0,98304.0,51923176872296.875,210893116449.0501,717.9884676208276,985.5676759431467,203.18138629081537,135.7645019878171,0.037383177570093455
30.0,907468.7286070037,906837.723096075,815578.6500930049,334172.2006410821,3143107.1644689008,2748.7921464991696,8.094853920018735,18.39471739035173,23.30977334607047,20.52517836195005,503808.0,155648.0,94208.0,51198311417475.31,196017454549.99448,864.4329792536411,1081.5676759431467,195.2794046438971,135.7645019878171,0.06504065040650407
40.0,892856.6364904941,891754.0855663599,809096.1855730247,334261.7669607317,3143062.01961652,2744.8977197863437,7.643122140513235,17.373695897572983,23.20965102137384,18.69294737971179,540672.0,180224.0,102400.0,50303332544075.88,166612105753.0267,988.1360999553465,1172.0773439350248,187.8342648100147,160.0,0.08333333333333333
50.0,871798.1353799681,870738.6722391208,783495.0753413171,334347.06047050055,3143025.363206016,2741.573969318957,6.253309505055007,16.03437337654523,19.520282929249927,15.16673458187278,573440.0,192512.0,110592.0,49059690133264.695,116867790177.20508,1130.4173523086365,1236.0773439350248,187.8342648100147,161.58431221748455,0.10714285714285714
60.0,856435.081937044,854473.0735565815,765941.2948356596,334408.50684974313,3142993.0282550855,2738.600215130089,5.3009334449874395,13.83533073200781,17.584492274242415,13.21777298648731,602112.0,192512.0,106496.0,48147413998835.016,81127443601.70692,1149.655344681336,1281.3321779309638,190.16236339371528,163.1686244349691,0.1360544217687075
70.0,843597.0975234807,839710.1291384224,828547.7305627854,334453.2585928491,3142962.346669333,2735.8738317550888,4.92436135732456,11.034394639008395,16.706693429192736,12.45670184385595,622592.0,163840.0,102400.0,47381680173892.984,65021988285.1597,1168.8933370540353,1326.587011926903,192.7208840188062,163.1686244349691,0.1513157894736842
80.0,829211.4285527519,823939.3281637282,799964.3336211861,334489.7708905516,3142932.2303520087,2733.7250000868426,4.213393344481017,9.586076024703083,15.60929942476829,11.65214643491018,638976.0,163840.0,94208.0,46539891676847.12,52572800734.224686,1188.1313294267347,1417.096679918781,197.64844951680797,163.1686244349691,0.15384615384615385
90.0,812215.883635646,796074.452762064,787610.5120845254,334522.09696098516,3142901.1120831454,2731.7565922342355,4.072112010019341,8.378063863927544,14.264845879777972,11.13722471262596,667648.0,172032.0,98304.0,45555495049091.44,40174028206.02302,1295.8108259107278,1571.6063479106592,203.18138629081537,163.1686244349691,0.15950920245398773
