section,chainage_m,threshold_depth_m,earliest_arrival_s
S1,4881.187672129356,0.001,
S1,4881.187672129356,0.05,
S1,4881.187672129356,0.1,
S1,4881.187672129356,0.2,
S2,9762.375344258711,0.001,
S2,9762.375344258711,0.05,
S2,9762.375344258711,0.1,
S2,9762.375344258711,0.2,
S3,14643.563016388067,0.001,
S3,14643.563016388067,0.05,
S3,14643.563016388067,0.1,
S3,14643.563016388067,0.2,
S4,19524.750688517423,0.001,
S4,19524.750688517423,0.05,
S4,19524.750688517423,0.1,
S4,19524.750688517423,0.2,
