case,time_s,chainage_bin,wet_volume_m3,max_depth_m,mean_depth_wet_m,max_speed_ms
C5,90,0-250,2423277.9525903678,91.95267239930594,36.9762871183833,3.1113548732837297
C5,90,250-500,221077.57392245962,12.05232703644794,4.497834755909416,9.653490969933188
C5,90,500-750,189008.1901605777,6.191069672632143,2.8840361047451433,14.809729722626816
C5,90,750-1000,161191.63611052537,9.485809789386188,4.37260297608847,13.265491076607573
C5,90,1000-1250,5388.501069079228,1.083895809049616,0.6577760094090854,4.641730626375346
C5,90,1250-1500,0.0,0.0,0.0,0.0
C5,90,1500-2000,0.0,0.0,0.0,0.0
C5,90,2000-1e+09,0.0,0.0,0.0,0.0
C5,180,0-250,2349385.9645115184,91.95267239930594,35.84878485887937,0.27012192963630954
C5,180,250-500,83212.07302512656,6.33089030453762,2.2572719462111155,7.30572548601861
C5,180,500-750,124180.40665233173,7.684492710794256,1.8948426308034017,10.641742844201001
C5,180,750-1000,224842.0001723142,10.35683392974924,4.990278768028991,8.202294741746591
C5,180,1000-1250,215176.28299437318,10.13601164027482,2.7649090639696388,11.753145452016499
C5,180,1250-1500,2884.268004933706,0.3005483312014076,0.1408333986784036,6.7069287884910125
C5,180,1500-2000,0.0,0.0,0.0,0.0
C5,180,2000-1e+09,0.0,0.0,0.0,0.0
C5,300,0-250,2335371.670353216,91.95267239930594,38.01060661382188,0.0
C5,300,250-500,27852.928773788884,3.303292949593057,0.8500039298641627,6.355464307095093
C5,300,500-750,84407.85500805042,7.682480898065075,1.3738257651049872,9.13554864906283
C5,300,750-1000,162390.22782570135,10.96817268851675,4.405116857251013,4.589188949218061
C5,300,1000-1250,237954.42880945056,8.560668970960405,3.2274634983920705,9.78850426436346
C5,300,1250-1500,95231.88771846752,8.418449676721139,2.583330287501832,8.373541671340268
C5,300,1500-2000,55934.42182550103,7.400788319019316,2.7311729406982925,4.555618101816827
C5,300,2000-1e+09,0.0,0.0,0.0,0.0
C5,600,0-250,2332325.129172826,91.95267239930594,37.961020982630636,0.0
C5,600,250-500,3497.5199928068414,0.3482825986953985,0.12198381671340826,3.070421857018143
C5,600,500-750,39192.94045194634,5.475534165728323,0.6834706412518544,8.874081655044984
C5,600,750-1000,86603.29387618384,9.766029429623208,2.6429227867487746,4.529625315716008
C5,600,1000-1250,163289.2494474316,8.458112515771754,2.4915962134923033,6.4514877745574495
C5,600,1250-1500,231041.15308996022,13.30595473133195,6.267392390678174,3.2083574653678646
C5,600,1500-2000,142637.7925509075,11.5284617345078,6.964735964399781,0.0
C5,600,2000-1e+09,0.0,0.0,0.0,0.0
C5,900,0-250,2332325.129172826,91.95267239930594,37.961020982630636,0.0
C5,900,250-500,2691.6753564475293,0.4207823760868168,0.1642868259550494,0.0
C5,900,500-750,24421.550684976835,4.103849292996851,0.5962292647699423,6.042690153985187
C5,900,750-1000,71386.922390263,9.315820485315328,2.489778264169329,2.5302981423839
C5,900,1000-1250,165916.1199009398,9.935864350869638,2.531679075636899,4.489699898455456
C5,900,1250-1500,255134.0892245963,12.56445297376463,6.920955111344301,2.1735945210889343
C5,900,1500-2000,146392.86463227493,11.32497999428928,7.148089093372799,0.0
C5,900,2000-1e+09,0.0,0.0,0.0,0.0
