time_s,bin,wet_volume_m3,fraction_of_injected_volume,max_depth_m,mean_wet_depth_m,max_speed_ms
90.0,0-250,1170558.7152679441,0.5852793576339721,49.20079135143487,23.815078028726077,5.017481462796267
90.0,250-500,275267.035607744,0.137633517803872,15.76724643826944,6.109442374106535,13.34298260395685
90.0,500-1000,547888.6293836909,0.27394431469184544,10.32494269659125,4.777209728861702,17.501110132355453
90.0,1000-2000,6269.709176088545,0.0031348545880442724,0.7349684794767344,0.3826726792046231,4.908011317432429
90.0,2000-4881.188,0.0,0.0,0.0,0.0,0.0
90.0,4881.188-1000000000.0,0.0,0.0,0.0,0.0,0.0
180.0,0-250,1085161.9492959857,0.5425809746479928,49.20079135143487,22.077676377278355,6.126454406981039
180.0,250-500,38266.70488271443,0.019133352441357217,2.973198247692829,0.8493142951596776,9.444345093160626
180.0,500-1000,434903.7506426341,0.21745187532131705,11.94719923973468,3.932506425805068,12.333346298717663
180.0,1000-2000,441309.36754622514,0.22065468377311256,12.51246923170965,3.078329851745432,17.443513215249105
180.0,2000-4881.188,0.0,0.0,0.0,0.0,0.0
180.0,4881.188-1000000000.0,0.0,0.0,0.0,0.0,0.0
300.0,0-250,1083375.4899898455,0.5416877449949228,49.20079135143487,22.041330769650177,2.214262167061347
300.0,250-500,4582.671707312146,0.002291335853656073,0.40479972477818,0.10171057589027313,4.820792958935571
300.0,500-1000,248693.10975197767,0.12434655487598884,11.15078837465712,2.428643649921657,9.278390598382472
300.0,1000-2000,662488.9256935308,0.3312444628467654,13.55996253258774,3.5160969646608082,12.852384813359176
300.0,2000-4881.188,0.0,0.0,0.0,0.0,0.0
300.0,4881.188-1000000000.0,0.0,0.0,0.0,0.0,0.0
600.0,0-250,1083344.8438790303,0.5416724219395151,49.20079135143487,24.0444079341049,0.0
600.0,250-500,3939.0501960265597,0.00196952509801328,0.6287643979575389,0.2404205441910742,0.43274308558420976
600.0,500-1000,103116.00402089597,0.05155800201044798,8.620694679292521,1.324989772061266,9.543449564231581
600.0,1000-2000,747762.3117503561,0.37388115587517806,14.23611827912838,4.245561817259925,10.04743142399149
600.0,2000-4881.188,60804.738443586255,0.030402369221793128,4.100796368317897,1.6494340940642973,5.9752771915520535
600.0,4881.188-1000000000.0,0.0,0.0,0.0,0.0,0.0
