time_s,unrestricted_max_projected_chainage_m,max_depth_m,max_speed_ms,p99_wet_speed_ms,entrained_volume_m3,total_wet_volume_m3
0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,509.8942387048844,14.26363593552869,14.795896760910749,14.589494551157594,11877.235502103214,511762.93760620966
60.0,875.1588875835486,34.42121281146677,21.09428232747608,20.261518669780394,53621.71151192972,1552961.10698927
90.0,1090.6716099003097,40.60772420474437,18.2861508791829,18.235716654658738,92065.55307024583,2090978.8766708313
120.0,1232.1738770466366,38.66140783613103,17.72687680152271,17.298729148422616,125164.84824645985,2123494.585469325
150.0,1460.6503517473525,38.66140783613103,19.435093167594772,18.75613293262684,170195.86802077809,2166084.4676422128
180.0,1600.323858011462,38.04099293938643,19.13135985078295,18.871389203165215,216824.39590852076,2210895.4408841003
210.0,1815.4292475770383,38.04099293938643,18.700041830395662,18.18774062177304,260429.55016710353,2255312.180075274
240.0,2031.7546722258878,38.04099293938643,18.490309571083856,17.863947206879633,306792.43380893534,2298001.65058152
270.0,2308.592892132688,38.04099293938643,17.952954832525307,17.062880140193204,349220.1285507648,2338653.80885829
300.0,2350.5082691350826,38.04099293938643,17.844843406737436,17.38511514124741,393566.2300677588,2378426.8968633804
330.0,2392.4232180611207,38.04099293938643,18.03761885988592,17.544542345681734,431497.6703272897,2415944.1204047995
360.0,2466.1340059864087,38.04099293938643,17.871408678541837,17.458085655805196,463535.16566056863,2445732.0872453405
390.0,2503.9845115837525,38.04099293938643,17.929202699106035,17.29936066367154,493032.57447167474,2472918.7778972024
420.0,2541.8307997294078,38.04099293938643,17.9644224385354,16.873525303661424,510872.5139117771,2498025.173372344
450.0,2541.8307997294078,38.04099293938643,17.63780812302876,16.44793312217574,530142.6703832089,2518736.2216660897
480.0,2579.675726414622,38.04099293938643,17.322089032966105,16.33371114349597,544648.5147578998,2538361.9755435186
510.0,2579.675726414622,38.04099293938643,16.61775889838928,15.744566122475572,563688.3238916271,2554617.278014107
540.0,2579.675726414622,38.04099293938643,16.165194894369076,15.652036685715153,577726.2487374827,2566898.989237429
570.0,2614.4090852927006,38.04099293938643,16.0758265947866,15.533640185858022,576082.5522846695,2576602.674995245
600.0,2614.4090852927006,38.04099293938643,15.583203875878137,15.150585252128966,571719.9611198958,2584148.066129959
630.0,2614.4090852927006,38.04099293938643,14.65817626279168,13.754521069560244,573235.1881729324,2589883.78189608
660.0,2614.4090852927006,38.04099293938643,14.33886781390595,13.488479660246849,569603.0293532022,2594787.0364878117
690.0,2614.4090852927006,38.04099293938643,13.98016738003535,13.256085584432942,562222.2673441796,2599375.389117936
720.0,2614.4090852927006,38.04099293938643,13.644682393262254,13.049233177429997,570125.6917311786,2603844.997351624
750.0,2614.4090852927006,38.04099293938643,13.110241797836597,12.871677694804871,565078.5265186084,2607777.491952461
780.0,2614.4090852927006,38.04099293938643,12.787335370497516,12.647670194077271,572022.9713432532,2611473.6663211975
810.0,2614.4090852927006,38.04099293938643,12.357815706422853,12.221344402996575,578762.0793247062,2615087.1605801196
840.0,2614.4090852927006,38.04099293938643,12.157154930557615,11.905628832462618,584295.097186126,2617831.7040198036
870.0,2614.4090852927006,38.04099293938643,11.297950272968919,11.24235496539345,583551.6500624645,2620175.6266134977
900.0,2614.4090852927006,38.04099293938643,11.09774370842588,10.652299774172787,569450.8438220085,2622921.0943904417
