case,time_s,projected_chainage,corridor_distance
C3,900,1600.3244358059997,428.8531501461122
C4,900,1600.3244358059997,428.8531501461122
C5,900,1600.3244358059997,428.8531501461122
C6,900,1600.3244358059997,428.8531501461122
