case,time_s,source_connected_max_chainage_unrestricted,max_chainage_256m,max_lateral_distance_m,source_connected_volume
C1,30,373.69523767201326,373.69523767201326,209.9243304913095,
C1,60,646.2376529771553,646.2376529771553,256.6147115562749,
C1,90,921.85026688559,921.85026688559,256.6147115562749,
C1,120,1050.6902256499422,1050.6902256499422,256.6147115562749,
C1,150,1110.6609502151668,1110.6609502151668,256.6147115562749,
C1,180,1232.1738163295522,1180.563896594787,286.73502682748074,
C1,210,1370.698065727749,1180.563896594787,415.1372918665172,
C1,240,1460.654152575586,1180.563896594787,415.1372918665172,
C1,270,1460.654152575586,1180.563896594787,415.1372918665172,
C1,300,1540.9274661863296,1180.563896594787,415.1372918665172,
C1,330,1540.9274661863296,1180.563896594787,415.1372918665172,
C1,360,1540.9274661863296,1180.563896594787,415.1372918665172,
C1,390,1540.9274661863296,1180.563896594787,415.1372918665172,
C1,420,1540.9274661863296,1180.563896594787,415.1372918665172,
C1,450,1540.9274661863296,1180.563896594787,428.8531501461122,
C1,480,1540.9274661863296,1180.563896594787,428.8531501461122,
C1,510,1540.9274661863296,1180.563896594787,428.8531501461122,
C1,540,1540.9274661863296,1180.563896594787,428.8531501461122,
C1,570,1540.9274661863296,1180.563896594787,428.8531501461122,
C1,600,1540.9274661863296,1180.563896594787,428.8531501461122,
C1,630,1540.9274661863296,1180.563896594787,428.8531501461122,
C1,660,1540.9274661863296,1180.563896594787,428.8531501461122,
C1,690,1540.9274661863296,1180.563896594787,428.8531501461122,
C1,720,1540.9274661863296,1180.563896594787,428.8531501461122,
C1,750,1540.9274661863296,1180.563896594787,428.8531501461122,
C1,780,1540.9274661863296,1180.563896594787,428.8531501461122,
C1,810,1540.9274661863296,1180.563896594787,428.8531501461122,
C1,840,1540.9274661863296,1180.563896594787,428.8531501461122,
C1,870,1540.9274661863296,1180.563896594787,428.8531501461122,
C1,900,1540.9274661863296,1180.563896594787,428.8531501461122,
C2,30,145.06328219628386,145.06328219628386,117.10969189430024,
C2,60,145.06328219628386,145.06328219628386,129.16595685286225,
C2,90,145.06328219628386,145.06328219628386,167.98937528112776,
C2,120,145.06328219628386,145.06328219628386,167.98937528112776,
C2,150,232.60774669309407,232.60774669309407,207.00618167474917,
C2,180,232.60774669309407,232.60774669309407,207.00618167474917,
C2,210,232.60774669309407,232.60774669309407,207.00618167474917,
C2,240,232.60774669309407,232.60774669309407,207.00618167474917,
C2,270,232.60774669309407,232.60774669309407,207.00618167474917,
C2,300,232.60774669309407,232.60774669309407,207.00618167474917,
C2,330,232.60774669309407,232.60774669309407,207.00618167474917,
C2,360,232.60774669309407,232.60774669309407,207.00618167474917,
C2,390,232.60774669309407,232.60774669309407,207.00618167474917,
C2,420,232.60774669309407,232.60774669309407,207.00618167474917,
C2,450,232.60774669309407,232.60774669309407,207.00618167474917,
C2,480,232.60774669309407,232.60774669309407,207.00618167474917,
C2,510,232.60774669309407,232.60774669309407,207.00618167474917,
C2,540,232.60774669309407,232.60774669309407,207.00618167474917,
C2,570,232.60774669309407,232.60774669309407,207.00618167474917,
C2,600,232.60774669309407,232.60774669309407,207.00618167474917,
C2,630,232.60774669309407,232.60774669309407,207.00618167474917,
C2,660,232.60774669309407,232.60774669309407,207.00618167474917,
C2,690,232.60774669309407,232.60774669309407,207.00618167474917,
C2,720,232.60774669309407,232.60774669309407,207.00618167474917,
C2,750,232.60774669309407,232.60774669309407,207.00618167474917,
C2,780,232.60774669309407,232.60774669309407,207.00618167474917,
C2,810,232.60774669309407,232.60774669309407,207.00618167474917,
C2,840,232.60774669309407,232.60774669309407,207.00618167474917,
C2,870,232.60774669309407,232.60774669309407,207.00618167474917,
C2,900,232.60774669309407,232.60774669309407,207.00618167474917,
C3,30,464.2049056638914,464.2049056638914,256.6147115562749,
C3,60,781.7791236906938,781.7791236906938,256.6147115562749,
C3,90,1000.7146218455885,1000.7146218455885,256.6147115562749,
C3,120,1110.6609502151668,1110.6609502151668,256.6147115562749,
C3,150,1180.563896594787,1180.563896594787,286.73502682748074,
C3,180,1370.698065727749,1218.411171066948,415.1372918665172,
C3,210,1460.654152575586,1270.0210908017134,415.1372918665172,
C3,240,1460.654152575586,1270.0210908017134,415.1372918665172,
C3,270,1540.9274661863296,1270.0210908017134,418.8580293852415,
