case,time_s,chainage_bin,wet_volume_m3,max_depth_m,mean_depth_wet_m,max_speed_ms
C3,90,0-250,1481218.2964966055,69.96686096370287,27.817350820624352,5.237912929129493
C3,90,250-500,197573.36302115867,10.33531866866214,4.823568433133756,12.260138979202605
C3,90,500-750,207173.4292460276,7.5910173819238,3.1612156562199036,17.416920481309926
C3,90,750-1000,113646.52620053309,6.519685755229173,3.0828593261863357,13.391407557385904
C3,90,1000-1250,391.71909597290215,0.09563454491525931,0.09563454491525931,2.1872899788572497
C3,90,1250-1500,0.0,0.0,0.0,0.0
C3,90,1500-2000,0.0,0.0,0.0,0.0
C3,90,2000-1e+09,0.0,0.0,0.0,0.0
C3,180,0-250,1394840.7170898085,69.96686096370287,28.37810703714617,0.3256063069226727
C3,180,250-500,42631.92401467814,3.236198352999113,1.3010230717370037,9.555456645829194
C3,180,500-750,136881.76102372096,7.86996981607115,2.088649917964492,11.134144437820629
C3,180,750-1000,228523.36985844406,10.58350142311889,5.071985304031518,8.892329475993417
C3,180,1000-1250,195452.1265028918,10.00384977141931,2.5114633853681614,9.493844179523618
C3,180,1250-1500,1455.0624353169112,0.2377687917211705,0.11841328412409759,5.948903225708131
C3,180,1500-2000,0.0,0.0,0.0,0.0
C3,180,2000-1e+09,0.0,0.0,0.0,0.0
C3,300,0-250,1394560.6690700348,69.96686096370287,28.372409445598038,0.0
C3,300,250-500,4608.2992788222255,0.343610322066755,0.14063413326483842,5.398053922084867
C3,300,500-750,67455.29442629295,7.288122932768665,1.0979051827196118,9.228569166301593
C3,300,750-1000,156916.02019719972,10.71864976772513,4.256619471495218,3.9852753028065617
C3,300,1000-1250,238691.75295724347,8.540147037331698,3.2374640971848345,9.916412971001538
C3,300,1250-1500,92674.17581505243,7.891340669767365,2.513947911649643,8.46328705808836
C3,300,1500-2000,44340.06257591886,6.131805069265882,2.7063026474559853,3.9580900577995037
C3,300,2000-1e+09,0.0,0.0,0.0,0.0
C3,600,0-250,1394562.7386471117,69.96686096370287,28.37245155125146,0.0
C3,600,250-500,2546.9437776275236,0.352005586310313,0.12436248914196893,0.41696676354703477
C3,600,500-750,30077.663463052966,4.730149620684694,0.5648599658776473,9.036974672881039
C3,600,750-1000,77817.69644410191,9.123595499324852,2.7140658637033312,3.151361143873762
C3,600,1000-1250,140986.9027923204,7.864887760160964,2.1512894102832094,6.498106052983778
C3,600,1250-1500,215705.1093579178,12.68002396476171,5.8513755793706,3.553738802661426
C3,600,1500-2000,137056.63009929718,11.0607444661175,6.692218266567245,0.0
C3,600,2000-1e+09,0.0,0.0,0.0,0.0
C3,900,0-250,1394562.9003670537,69.96686096370287,28.3724548414521,0.0
C3,900,250-500,2542.39514915811,0.352005586310313,0.1551754851781073,0.0
C3,900,500-750,21762.190257935064,3.846389735448157,0.4830031573582889,5.999134219028689
C3,900,750-1000,67704.74860032275,9.21717897091726,2.361354234107239,2.700803390012921
C3,900,1000-1250,138034.08348936096,8.955979302984424,2.106232963399673,4.401472791803213
C3,900,1250-1500,236830.23012952443,12.92114216102403,6.424431155857325,2.1799983182030194
C3,900,1500-2000,137056.63009929718,11.0607444661175,6.692218266567245,0.0
C3,900,2000-1e+09,0.0,0.0,0.0,0.0
