time_s,old_front_x,old_front_y,new_front_x,new_front_y,old_local_axis_progress_m,new_local_axis_progress_m,old_max_depth_m,new_max_depth_m,old_max_speed_ms,new_max_speed_ms
90,333902.0,3143292.0,333902.0,3143292.0,0.0,0.0,37.37432092881446,37.37432092881446,18.366880867791394,18.366880867791394
180,333902.0,3143292.0,333902.0,3143292.0,0.0,0.0,23.07922543310224,23.07922543310224,19.232312415854643,19.232312415854643
300,333902.0,3143356.0,333902.0,3143356.0,0.0,0.0,20.68358320440737,20.68358320440737,18.595188279542725,18.595188279542725
420,333902.0,3143356.0,333902.0,3143356.0,0.0,0.0,20.68358320440737,20.68358320440737,18.43233668882728,18.43233668882728
600,333902.0,3143356.0,333902.0,3143356.0,0.0,0.0,21.08517749175167,21.08517749175167,17.501571444332846,17.501571444332846
900,333902.0,3143356.0,333902.0,3143356.0,0.0,0.0,23.90063773022884,23.90063773022884,13.623585756519935,13.623585756519935
