source_cell,cell_elevation_m,corridor_chainage_m,corridor_distance_m,min_64m,median_64m,above_min_64m,min_128m,median_128m,above_min_128m,min_192m,median_192m,above_min_192m,min_256m,median_256m,above_min_256m,robust_floor_elevation_m,height_above_robust_floor_m
cell1,2773.6123046875,0.0,93.2323239863429,2765.149658203125,2783.94091796875,8.462646484375,2765.149658203125,2807.181640625,8.462646484375,2765.149658203125,2833.648681640625,8.462646484375,2760.914794921875,2844.107666015625,12.697509765625,2760.914794921875,12.697509765625
cell2,2783.94091796875,66.67069015468125,78.28627346616683,2765.149658203125,2783.94091796875,18.791259765625,2765.149658203125,2807.7353515625,18.791259765625,2760.914794921875,2821.68896484375,23.026123046875,2758.738525390625,2838.363037109375,25.202392578125,2758.738525390625,25.202392578125
cell3,2807.7353515625,145.0632821962839,69.85318729655381,2767.44970703125,2798.721435546875,40.28564453125,2760.914794921875,2807.7353515625,46.820556640625,2758.738525390625,2812.505126953125,48.996826171875,2758.738525390625,2827.32470703125,48.996826171875,2758.738525390625,48.996826171875
