time_s,front_x,front_y,front_nearest_axis_distance_m,max_local_axis_progress_m,local_axis_fraction,max_depth_m,max_speed_ms,p99_wet_speed_ms,total_wet_volume_m3,bdif_integral_m3
0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,333902.0,3143292.0,2906.1414280795075,0.0,0.0,14.26363593552869,14.795896760910749,14.589494551157594,511762.93760620966,11877.235502103214
60.0,333902.0,3143292.0,2906.1414280795075,0.0,0.0,36.06239991090028,21.09475023302609,20.2619990769559,1571962.1981660833,72625.57392390614
90.0,333902.0,3143292.0,2906.1414280795075,0.0,0.0,37.37432092881446,18.366880867791394,18.364019802938714,2122224.0756300464,123327.02250030791
120.0,333902.0,3143292.0,2906.1414280795075,0.0,0.0,28.605022072837,18.598525163856177,18.249020409737618,2157077.437985016,158595.13910279606
150.0,333902.0,3143292.0,2906.1414280795075,0.0,0.0,24.55576349012472,19.408868543983605,19.064966787751967,2202440.0565935536,205575.2697957604
180.0,333902.0,3143292.0,2906.1414280795075,0.0,0.0,23.07922543310224,19.232312415854643,19.2232392100464,2254038.4018095345,259163.6918466594
210.0,333902.0,3143292.0,2906.1414280795075,0.0,0.0,21.54472593207585,18.899106283907983,18.740021432604,2305542.8279462196,313740.63131698454
240.0,333902.0,3143292.0,2906.1414280795075,0.0,0.0,21.54472593207585,18.765445562230756,18.233645761319448,2358388.9314831845,366574.70537142566
270.0,333902.0,3143292.0,2906.1414280795075,0.0,0.0,20.68358320440737,18.70407465125316,17.851635232075438,2412238.0000566356,425452.59012691164
300.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,20.68358320440737,18.595188279542725,17.797260924138772,2467029.3119567526,454963.1420864284
330.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,20.68358320440737,18.242064718241302,18.0062673925717,2518773.7913297038,512662.91543962556
360.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,20.68358320440737,18.217185455337432,17.840238521463068,2564636.0891899723,561436.8728493823
390.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,20.68358320440737,18.31028308033088,17.77578174942718,2604386.229287317,608262.5145480604
420.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,20.68358320440737,18.43233668882728,17.463017534903155,2641058.346907017,625662.3794374415
450.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,20.68358320440737,18.461405467326326,17.48906640155544,2676755.0077879736,653498.7180975085
480.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,20.68358320440737,18.46796480641523,17.487146376969843,2711433.3685875395,697146.6244003822
510.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,20.68358320440737,18.503273162908158,17.558152267612257,2742198.7307332125,727992.5991764194
540.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,20.68358320440737,18.12741651047085,16.93180234162513,2766883.5843107933,760306.4397545576
570.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,20.68358320440737,17.913182686247637,16.253691081624275,2788558.2913481556,790199.4979470449
600.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,21.08517749175167,17.501571444332846,15.76446206000095,2808577.1210628254,800928.2262623585
630.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,21.61545355785293,17.13459266810412,15.782817426375438,2825252.4909890387,826142.0631825014
660.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,22.04845176974139,16.76866883385545,15.123309510641764,2841518.2985222666,851139.6465582309
690.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,22.40610454894486,16.533861658111466,14.964116434743586,2858593.0004903665,877370.4207697951
720.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,22.79344542613285,15.534191266300608,12.979732014127269,2874345.777068576,892255.9136718785
750.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,23.08712808549193,15.19689885325771,12.812047356415265,2890300.0108817727,917107.121882642
780.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,23.34716571214003,14.80780845659589,12.57163578950237,2903656.593732615,907195.3608574689
810.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,23.55132621468158,14.483860292463447,12.749218340866072,2914756.8172229193,926106.1776653946
840.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,23.71955646501891,13.943804688261038,12.36797512382897,2925028.4444964514,917346.729817258
870.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,23.83736570435783,13.763050182432805,12.318450931474278,2935426.1611086577,929536.4486392067
900.0,333902.0,3143356.0,2955.9042609665153,0.0,0.0,23.90063773022884,13.623585756519935,11.924109665923275,2944927.012190648,946524.3844723396
