chainage_m,canonical_axis_z,cross_valley_min_z,robust_valley_floor_z,robust_low_offset_m
0.0,2841.91357421875,2745.559326171875,2755.470703125,0.0
25.0,2862.87890625,2743.982421875,2751.31298828125,0.0
50.0,2862.87890625,2743.982421875,2751.31298828125,0.0
75.0,2862.87890625,2743.982421875,2751.31298828125,0.0
100.0,2835.2841796875,2743.982421875,2751.31298828125,0.0
125.0,2868.451171875,2742.04248046875,2745.559326171875,0.0
150.0,2868.451171875,2742.04248046875,2745.559326171875,0.0
175.0,2840.66748046875,2742.04248046875,2745.559326171875,0.0
200.0,2840.66748046875,2742.04248046875,2745.559326171875,0.0
225.0,2855.60986328125,2742.04248046875,2744.133544921875,0.0
250.0,2855.60986328125,2742.04248046875,2744.133544921875,0.0
275.0,2815.90283203125,2742.04248046875,2744.133544921875,0.0
300.0,2828.079833984375,2740.95703125,2743.982421875,0.0
325.0,2828.079833984375,2740.95703125,2743.982421875,0.0
350.0,2828.079833984375,2740.95703125,2743.982421875,0.0
375.0,2795.723876953125,2738.64599609375,2742.04248046875,0.0
400.0,2822.35986328125,2738.64599609375,2742.04248046875,0.0
425.0,2822.35986328125,2738.64599609375,2742.04248046875,0.0
450.0,2822.35986328125,2738.64599609375,2742.04248046875,0.0
475.0,2794.781494140625,2734.232666015625,2740.95703125,0.0
500.0,2802.750732421875,2734.232666015625,2740.95703125,0.0
525.0,2802.750732421875,2734.232666015625,2740.95703125,0.0
550.0,2773.5693359375,2725.941650390625,2734.742431640625,0.0
575.0,2776.093017578125,2725.941650390625,2734.742431640625,0.0
600.0,2776.093017578125,2725.941650390625,2734.742431640625,0.0
625.0,2776.093017578125,2725.941650390625,2734.742431640625,0.0
650.0,2751.738037109375,2724.307373046875,2734.143798828125,0.0
675.0,2745.559326171875,2724.307373046875,2734.143798828125,0.0
700.0,2745.559326171875,2724.307373046875,2734.143798828125,0.0
725.0,2751.5068359375,2721.7705078125,2724.307373046875,0.0
750.0,2751.5068359375,2721.7705078125,2724.307373046875,0.0
775.0,2751.31298828125,2721.7705078125,2724.307373046875,0.0
800.0,2751.31298828125,2721.7705078125,2724.307373046875,0.0
825.0,2780.65673828125,2718.791259765625,2722.658203125,0.0
850.0,2770.34716796875,2718.791259765625,2722.658203125,0.0
875.0,2770.34716796875,2718.791259765625,2722.658203125,0.0
900.0,2770.34716796875,2718.791259765625,2722.658203125,0.0
925.0,2779.60205078125,2717.994140625,2721.7705078125,0.0
950.0,2762.30029296875,2717.994140625,2721.7705078125,0.0
975.0,2762.30029296875,2717.994140625,2721.7705078125,0.0
1000.0,2751.7861328125,2712.2734375,2717.994140625,0.0
1025.0,2751.7861328125,2712.2734375,2717.994140625,0.0
1050.0,2740.95703125,2712.2734375,2717.994140625,0.0
1075.0,2746.47802734375,2710.78369140625,2713.607177734375,0.0
1100.0,2746.47802734375,2710.78369140625,2713.607177734375,0.0
1125.0,2746.47802734375,2710.78369140625,2713.607177734375,0.0
1150.0,2763.982666015625,2710.78369140625,2713.607177734375,0.0
1175.0,2777.691650390625,2710.231201171875,2712.2734375,0.0
1200.0,2777.691650390625,2710.231201171875,2712.2734375,0.0
1225.0,2777.691650390625,2710.231201171875,2712.2734375,0.0
1250.0,2796.94921875,2710.231201171875,2712.2734375,0.0
1275.0,2796.94921875,2710.231201171875,2712.2734375,0.0
1300.0,2796.94921875,2710.231201171875,2712.2734375,0.0
1325.0,2794.36376953125,2706.615966796875,2709.488037109375,0.0
1350.0,2795.0185546875,2706.615966796875,2709.488037109375,0.0
1375.0,2795.0185546875,2706.615966796875,2709.488037109375,0.0
1400.0,2793.052001953125,2695.49853515625,2704.29931640625,0.0
1425.0,2793.052001953125,2695.49853515625,2704.29931640625,0.0
1450.0,2794.4189453125,2695.49853515625,2704.29931640625,0.0
