case,time_s,cell_id,h,speed,terrain_z
C1,0,1,0.0,0.0,2773.6123046875
C1,0,2,0.0,0.0,2783.94091796875
C1,0,3,0.0,0.0,2807.7353515625
C1,30,1,8.863157765948051,1.4394302158631513,2773.6123046875
C1,30,2,5.065025376923625,3.4081005257041936,2783.94091796875
C1,30,3,5.160163600477515,2.5901887541845103,2807.7353515625
C1,60,1,32.1223696939184,0.0,2773.6123046875
C1,60,2,11.13943050176718,0.0,2783.94091796875
C1,60,3,5.543379633455778,0.0,2807.7353515625
C1,90,1,43.17256208376372,0.0,2773.6123046875
C1,90,2,21.20860218466983,0.0,2783.94091796875
C1,90,3,1.337516026976379,0.0,2807.7353515625
C1,120,1,43.17256208376369,0.0,2773.6123046875
C1,120,2,16.707522167355,0.0,2783.94091796875
C1,120,3,0.0623068654822307,0.0,2807.7353515625
C1,150,1,43.17256208376369,0.0,2773.6123046875
C1,150,2,16.707522167355,0.0,2783.94091796875
C1,150,3,0.04444504598174404,0.0,2807.7353515625
C1,180,1,43.17256208376369,0.0,2773.6123046875
C1,180,2,16.707522167355,0.0,2783.94091796875
C1,180,3,0.03329810327079893,0.0,2807.7353515625
C1,210,1,43.17256208376369,0.0,2773.6123046875
C1,210,2,16.707522167355,0.0,2783.94091796875
C1,210,3,0.0,0.0,2807.7353515625
C1,240,1,43.17256208376369,0.0,2773.6123046875
C1,240,2,16.707522167355,0.0,2783.94091796875
C1,240,3,0.0,0.0,2807.7353515625
C1,270,1,43.17256208376369,0.0,2773.6123046875
C1,270,2,16.707522167355,0.0,2783.94091796875
C1,270,3,0.0,0.0,2807.7353515625
C1,300,1,43.17256208376369,0.0,2773.6123046875
C1,300,2,16.707522167355,0.0,2783.94091796875
C1,300,3,0.0,0.0,2807.7353515625
C1,330,1,43.17256208376369,0.0,2773.6123046875
C1,330,2,16.707522167355,0.0,2783.94091796875
C1,330,3,0.0,0.0,2807.7353515625
C1,360,1,43.17256208376369,0.0,2773.6123046875
C1,360,2,16.707522167355,0.0,2783.94091796875
C1,360,3,0.0,0.0,2807.7353515625
C1,390,1,43.17256208376369,0.0,2773.6123046875
C1,390,2,16.707522167355,0.0,2783.94091796875
C1,390,3,0.0,0.0,2807.7353515625
C1,420,1,43.17256208376369,0.0,2773.6123046875
C1,420,2,16.707522167355,0.0,2783.94091796875
C1,420,3,0.0,0.0,2807.7353515625
C1,450,1,43.17256208376369,0.0,2773.6123046875
C1,450,2,16.707522167355,0.0,2783.94091796875
C1,450,3,0.0,0.0,2807.7353515625
C1,480,1,43.17256208376369,0.0,2773.6123046875
C1,480,2,16.707522167355,0.0,2783.94091796875
C1,480,3,0.0,0.0,2807.7353515625
C1,510,1,43.17256208376369,0.0,2773.6123046875
C1,510,2,16.707522167355,0.0,2783.94091796875
C1,510,3,0.0,0.0,2807.7353515625
C1,540,1,43.17256208376369,0.0,2773.6123046875
C1,540,2,16.707522167355,0.0,2783.94091796875
C1,540,3,0.0,0.0,2807.7353515625
C1,570,1,43.17256208376369,0.0,2773.6123046875
C1,570,2,16.707522167355,0.0,2783.94091796875
C1,570,3,0.0,0.0,2807.7353515625
C1,600,1,43.17256208376369,0.0,2773.6123046875
C1,600,2,16.707522167355,0.0,2783.94091796875
C1,600,3,0.0,0.0,2807.7353515625
C1,630,1,43.17256208376369,0.0,2773.6123046875
C1,630,2,16.707522167355,0.0,2783.94091796875
C1,630,3,0.0,0.0,2807.7353515625
C1,660,1,43.17256208376369,0.0,2773.6123046875
C1,660,2,16.707522167355,0.0,2783.94091796875
C1,660,3,0.0,0.0,2807.7353515625
C1,690,1,43.17256208376369,0.0,2773.6123046875
C1,690,2,16.707522167355,0.0,2783.94091796875
C1,690,3,0.0,0.0,2807.7353515625
C1,720,1,43.17256208376369,0.0,2773.6123046875
C1,720,2,16.707522167355,0.0,2783.94091796875
C1,720,3,0.0,0.0,2807.7353515625
C1,750,1,43.17256208376369,0.0,2773.6123046875
C1,750,2,16.707522167355,0.0,2783.94091796875
C1,750,3,0.0,0.0,2807.7353515625
C1,780,1,43.17256208376369,0.0,2773.6123046875
C1,780,2,16.707522167355,0.0,2783.94091796875
C1,780,3,0.0,0.0,2807.7353515625
C1,810,1,43.17256208376369,0.0,2773.6123046875
C1,810,2,16.707522167355,0.0,2783.94091796875
C1,810,3,0.0,0.0,2807.7353515625
C1,840,1,43.17256208376369,0.0,2773.6123046875
C1,840,2,16.707522167355,0.0,2783.94091796875
C1,840,3,0.0,0.0,2807.7353515625
C1,870,1,43.17256208376369,0.0,2773.6123046875
C1,870,2,16.707522167355,0.0,2783.94091796875
C1,870,3,0.0,0.0,2807.7353515625
C1,900,1,43.17256208376369,0.0,2773.6123046875
C1,900,2,16.707522167355,0.0,2783.94091796875
C1,900,3,0.0,0.0,2807.7353515625
C2,0,1,0.0,0.0,2773.6123046875
C2,0,2,0.0,0.0,2783.94091796875
C2,0,3,0.0,0.0,2807.7353515625
C2,30,1,5.451424782056098,0.0,2773.6123046875
C2,30,2,4.972440184729445,0.0,2783.94091796875
C2,30,3,4.063769071914454,0.0,2807.7353515625
C2,60,1,19.22937826097516,0.0,2773.6123046875
C2,60,2,16.45830324975009,0.0,2783.94091796875
C2,60,3,10.32624102715524,0.0,2807.7353515625
C2,90,1,34.82807017045278,0.0,2773.6123046875
C2,90,2,28.66467122782865,0.0,2783.94091796875
C2,90,3,21.18438317617489,0.0,2807.7353515625
C2,120,1,41.26409934432256,0.0,2773.6123046875
C2,120,2,39.42291739124492,0.0,2783.94091796875
C2,120,3,29.79504590472024,0.0,2807.7353515625
C2,150,1,49.05051664406246,0.0,2773.6123046875
C2,150,2,45.14025533146279,0.0,2783.94091796875
C2,150,3,25.78157371801863,0.0,2807.7353515625
C2,180,1,51.96526287234244,0.0,2773.6123046875
C2,180,2,45.54144950759007,0.0,2783.94091796875
C2,180,3,28.50871463780798,0.0,2807.7353515625
C2,210,1,51.96526287234244,0.0,2773.6123046875
C2,210,2,45.5414495075901,0.0,2783.94091796875
C2,210,3,28.50871463780798,0.0,2807.7353515625
C2,240,1,51.96526287234244,0.0,2773.6123046875
C2,240,2,45.5414495075901,0.0,2783.94091796875
C2,240,3,28.50871463780798,0.0,2807.7353515625
C2,270,1,51.96526287234244,0.0,2773.6123046875
C2,270,2,45.5414495075901,0.0,2783.94091796875
C2,270,3,28.50871463780798,0.0,2807.7353515625
C2,300,1,51.96526287234244,0.0,2773.6123046875
C2,300,2,45.5414495075901,0.0,2783.94091796875
C2,300,3,28.50871463780798,0.0,2807.7353515625
C2,330,1,51.96526287234244,0.0,2773.6123046875
C2,330,2,45.5414495075901,0.0,2783.94091796875
C2,330,3,28.50871463780798,0.0,2807.7353515625
C2,360,1,51.96526287234244,0.0,2773.6123046875
C2,360,2,45.5414495075901,0.0,2783.94091796875
C2,360,3,28.50871463780798,0.0,2807.7353515625
C2,390,1,51.96526287234244,0.0,2773.6123046875
C2,390,2,45.5414495075901,0.0,2783.94091796875
C2,390,3,28.50871463780798,0.0,2807.7353515625
C2,420,1,51.96526287234244,0.0,2773.6123046875
C2,420,2,45.5414495075901,0.0,2783.94091796875
C2,420,3,28.50871463780798,0.0,2807.7353515625
C2,450,1,51.96526287234244,0.0,2773.6123046875
C2,450,2,45.5414495075901,0.0,2783.94091796875
C2,450,3,28.50871463780798,0.0,2807.7353515625
C2,480,1,51.96526287234244,0.0,2773.6123046875
C2,480,2,45.5414495075901,0.0,2783.94091796875
C2,480,3,28.50871463780798,0.0,2807.7353515625
C2,510,1,51.96526287234244,0.0,2773.6123046875
C2,510,2,45.5414495075901,0.0,2783.94091796875
C2,510,3,28.50871463780798,0.0,2807.7353515625
C2,540,1,51.96526287234244,0.0,2773.6123046875
C2,540,2,45.5414495075901,0.0,2783.94091796875
C2,540,3,28.50871463780798,0.0,2807.7353515625
C2,570,1,51.96526287234244,0.0,2773.6123046875
C2,570,2,45.5414495075901,0.0,2783.94091796875
C2,570,3,28.50871463780798,0.0,2807.7353515625
C2,600,1,51.96526287234244,0.0,2773.6123046875
C2,600,2,45.5414495075901,0.0,2783.94091796875
C2,600,3,28.50871463780798,0.0,2807.7353515625
C2,630,1,51.96526287234244,0.0,2773.6123046875
C2,630,2,45.5414495075901,0.0,2783.94091796875
C2,630,3,28.50871463780798,0.0,2807.7353515625
C2,660,1,51.96526287234244,0.0,2773.6123046875
C2,660,2,45.5414495075901,0.0,2783.94091796875
C2,660,3,28.50871463780798,0.0,2807.7353515625
C2,690,1,51.96526287234244,0.0,2773.6123046875
C2,690,2,45.5414495075901,0.0,2783.94091796875
C2,690,3,28.50871463780798,0.0,2807.7353515625
C2,720,1,51.96526287234244,0.0,2773.6123046875
C2,720,2,45.5414495075901,0.0,2783.94091796875
C2,720,3,28.50871463780798,0.0,2807.7353515625
C2,750,1,51.96526287234244,0.0,2773.6123046875
C2,750,2,45.5414495075901,0.0,2783.94091796875
C2,750,3,28.50871463780798,0.0,2807.7353515625
C2,780,1,51.96526287234244,0.0,2773.6123046875
C2,780,2,45.5414495075901,0.0,2783.94091796875
C2,780,3,28.50871463780798,0.0,2807.7353515625
C2,810,1,51.96526287234244,0.0,2773.6123046875
C2,810,2,45.5414495075901,0.0,2783.94091796875
C2,810,3,28.50871463780798,0.0,2807.7353515625
C2,840,1,51.96526287234244,0.0,2773.6123046875
C2,840,2,45.5414495075901,0.0,2783.94091796875
C2,840,3,28.50871463780798,0.0,2807.7353515625
C2,870,1,51.96526287234244,0.0,2773.6123046875
C2,870,2,45.5414495075901,0.0,2783.94091796875
C2,870,3,28.50871463780798,0.0,2807.7353515625
C2,900,1,51.96526287234244,0.0,2773.6123046875
C2,900,2,45.5414495075901,0.0,2783.94091796875
C2,900,3,28.50871463780798,0.0,2807.7353515625
C3,0,1,0.0,0.0,2773.6123046875
