time_s,E2_front_m,E4_front_m,front_gain_E4_minus_E2_m,E2_max_depth_m,E4_max_depth_m,E2_max_speed_ms,E4_max_speed_ms,E2_bdif_integral_m3,E4_bdif_integral_m3
90,1090.6716099003097,1090.6716099003097,0.0,40.60772420474437,37.37432092881446,18.2861508791829,18.366880867791394,92065.55307024583,123327.02250030791
180,1600.323858011462,1600.323858011462,0.0,38.04099293938643,23.07922543310224,19.13135985078295,19.232312415854643,216824.39590852076,259163.6918466594
300,2350.5082691350826,2392.4232180611207,41.91494892603805,38.04099293938643,20.68358320440737,17.844843406737436,18.595188279542725,393566.2300677588,454963.1420864284
420,2541.8307997294078,2541.8307997294078,0.0,38.04099293938643,20.68358320440737,17.9644224385354,18.43233668882728,510872.5139117771,625662.3794374415
600,2614.4090852927006,2653.136256982537,38.72717168983627,38.04099293938643,21.08517749175167,15.583203875878137,17.501571444332846,571719.9611198958,800928.2262623585
900,2614.4090852927006,2933.4641706042867,319.055085311586,38.04099293938643,23.90063773022884,11.09774370842588,13.623585756519935,569450.8438220085,946524.3844723396
