case,target_volume_m3,final_model_volume_m3,relative_injected_volume_error
C1,1000000.0,998464.7691029343,-0.0015352308970657178
C2,1000000.0,999996.209673816,-3.7903261840110644e-06
C3,2000000.0,1998493.1780926522,-0.0007534109536738834
C4,2000000.0,1998148.5487180431,-0.0009257256409784313
C5,3000000.0,2998268.351362325,-0.0005772162125584049
C6,3000000.0,2998720.7149377135,-0.00042642835409551237
