case,time_s,depth_threshold_m,max_chainage_128m,max_chainage_256m,max_chainage_512m,max_chainage_1000m,max_chainage_unrestricted,max_lateral_distance_m,max_euclidean_distance_from_S0_m
C1,360,0.01,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,415.1372918665172,1569.2621116009836
C1,360,0.05,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,415.1372918665172,1569.2621116009836
C1,360,0.1,117.55037354150878,142.14513337972352,142.14513337972352,142.14513337972352,142.14513337972352,180.37990011567342,229.52956012625492
C1,390,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,415.1372918665172,1569.2621116009836
C1,390,0.01,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,415.1372918665172,1569.2621116009836
C1,390,0.05,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,415.1372918665172,1569.2621116009836
C1,390,0.1,117.55037354150878,142.14513337972352,142.14513337972352,142.14513337972352,142.14513337972352,180.37990011567342,229.52956012625492
C1,420,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,415.1372918665172,1569.2621116009836
C1,420,0.01,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,415.1372918665172,1569.2621116009836
C1,420,0.05,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,415.1372918665172,1569.2621116009836
C1,420,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,450,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,450,0.01,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,450,0.05,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,450,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,480,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,480,0.01,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,480,0.05,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,480,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,510,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,510,0.01,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,510,0.05,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,510,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,540,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,540,0.01,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,540,0.05,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,540,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,570,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,570,0.01,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,570,0.05,649.3568221216583,649.3568221216583,649.3568221216583,649.3568221216583,649.3568221216583,180.37990011567342,657.2955971808738
C1,570,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,600,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,600,0.01,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,600,0.05,649.3568221216583,649.3568221216583,649.3568221216583,649.3568221216583,649.3568221216583,180.37990011567342,657.2955971808738
C1,600,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,630,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,630,0.01,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,630,0.05,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,630,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,660,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,660,0.01,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,660,0.05,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,660,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,690,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,690,0.01,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,690,0.05,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,180.37990011567342,604.9185510107419
C1,690,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,720,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,720,0.01,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,720,0.05,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,180.37990011567342,604.9185510107419
C1,720,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,750,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,750,0.01,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,750,0.05,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,180.37990011567342,604.9185510107419
C1,750,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,780,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,780,0.01,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,209.9243304913095,604.9185510107419
C1,780,0.05,117.55037354150878,418.95007166795233,418.95007166795233,418.95007166795233,418.95007166795233,180.37990011567342,453.63441765453564
C1,780,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,810,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,810,0.01,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,209.9243304913095,604.9185510107419
C1,810,0.05,117.55037354150878,418.95007166795233,418.95007166795233,418.95007166795233,418.95007166795233,180.37990011567342,453.63441765453564
C1,810,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,840,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,840,0.01,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,209.9243304913095,604.9185510107419
C1,840,0.05,117.55037354150878,418.95007166795233,418.95007166795233,418.95007166795233,418.95007166795233,180.37990011567342,453.63441765453564
C1,840,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,870,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,870,0.01,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,209.9243304913095,604.9185510107419
C1,870,0.05,117.55037354150878,418.95007166795233,418.95007166795233,418.95007166795233,418.95007166795233,180.37990011567342,453.63441765453564
C1,870,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C1,900,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,428.8531501461122,1569.2621116009836
C1,900,0.01,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,602.5692849541147,209.9243304913095,604.9185510107419
C1,900,0.05,117.55037354150878,418.95007166795233,418.95007166795233,418.95007166795233,418.95007166795233,180.37990011567342,453.63441765453564
C1,900,0.1,117.55037354150878,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,180.37990011567342,295.5220368682477
C2,30,0.001,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,117.10969189430023,169.82101413519516
C2,30,0.01,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,117.10969189430023,169.82101413519516
C2,30,0.05,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,117.10969189430023,169.82101413519516
C2,30,0.1,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,117.10969189430023,169.82101413519516
C2,60,0.001,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,129.16595685286225,169.82101413519516
C2,60,0.01,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,129.16595685286225,169.82101413519516
C2,60,0.05,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,129.16595685286225,169.82101413519516
C2,60,0.1,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,129.16595685286225,169.82101413519516
C2,90,0.001,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,167.98937528112776,185.52186843805288
C2,90,0.01,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,167.98937528112776,185.52186843805288
C2,90,0.05,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,129.16595685286225,169.82101413519516
C2,90,0.1,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,129.16595685286225,169.82101413519516
C2,120,0.001,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,167.98937528112776,185.52186843805288
C2,120,0.01,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,167.98937528112776,185.52186843805288
C2,120,0.05,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,167.98937528112776,185.52186843805288
C2,120,0.1,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,145.06328219628386,167.98937528112776,185.52186843805288
C2,150,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,150,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,150,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,150,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,180,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,180,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,180,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,180,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,210,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,210,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,210,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,210,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,240,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,240,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,240,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,240,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,270,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,270,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,270,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,270,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,300,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,300,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,300,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,300,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,330,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,330,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,330,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,330,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,360,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,360,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,360,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,360,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,390,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,390,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,390,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,390,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,420,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,420,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,420,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,420,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,450,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,450,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,450,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,450,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,480,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,480,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,480,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,480,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,510,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,510,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,510,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,510,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,540,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,540,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,540,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,540,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,570,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,570,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,570,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,570,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,600,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,600,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,600,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,600,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,630,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,630,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,630,0.05,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,630,0.1,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,660,0.001,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
C2,660,0.01,188.83551444468895,232.60774669309407,232.60774669309407,232.60774669309407,232.60774669309407,207.00618167474914,295.5220368682477
