method,trajectory_h_rel_l2,trajectory_hu_rel_l2,trajectory_hv_rel_l2,trajectory_c_rel_l2,trajectory_ice_rel_l2,trajectory_dz_rel_l2,trajectory_momentum_rel_l2,change_region_h_rel_l2,change_region_hu_rel_l2,change_region_hv_rel_l2,change_region_c_rel_l2,change_region_ice_rel_l2,change_region_dz_rel_l2,change_region_momentum_rel_l2,mean_wet_iou,final_wet_iou,mixture_volume_relative_error,debris_front_mae_km,debris_front_final_error_km,newly_wet_iou,newly_wet_precision,newly_wet_recall,front_zone_h_rel_l2,front_zone_momentum_rel_l2,front_zone_wet_iou,budget_fraction,selected_patch_count,active_cell_coverage_fraction,arrival_MAE_s,peak_Q_relative_error,peak_Qdebris_relative_error,peak_hmax_relative_error,peak_stage_absolute_error,wet_width_relative_error,missed_arrival_count,truth_no_arrival_count
FrozenGlobal,1.00869693137439,0.7800033998307074,4.169364691207173,1.6621865827565692,1.0698482030292855,1.1218518706588754,2.956730982348409,0.803065479947209,0.546030767909166,0.571216399607337,0.46165991907852616,0.674336341052938,0.967675557177526,0.5592700003173806,0.3597991380067261,0.22046705190667595,0.246521449200047,11.912151311910051,3.2430004596710207,0.00902048627235453,0.009053786610531899,0.7103560207245261,0.9443113950554108,0.9478701963785664,0.5995450180749666,0.0,0.0,0.0,501.8333333333333,0.7023555156402953,0.9271843836803678,0.9398868147586347,22.051678466796876,0.6982168321874203,0,0
Persistence,0.9753075148877454,0.9997074596493416,0.9991668755788711,1.0,1.0,1.0,0.9994453998766304,0.9970570935197155,0.9999695946198287,0.9999531267563007,1.0,1.0,1.0,0.9999610306188083,0.6574289342420154,0.7154024267281546,0.9197660657041956,23.940000534057617,23.940000534057617,0.0013860054907140593,0.009402310396785536,0.001623005056284983,0.9312270229669799,0.9950430649429858,0.7340740331982823,0.0,0.0,,813.3333333333334,0.9962170139009636,1.0,0.9404753177144786,21.36897989908854,0.6948834988540871,60,0
RandomPerfect_B05,0.6851692344674375,0.6003021817040252,0.631145798539172,0.7107698502588862,0.6699215396278572,0.43097142274205613,0.6158640256051375,0.7695164472114112,0.52732577738699,0.5119968183675828,0.4861542413841478,0.6862126357476601,0.839200974213243,0.5194104855872008,0.8031161083721013,0.8950201992165276,0.11722765316494739,9.618669848534253,0.9629999160766601,0.053035847356201024,0.05417119995764414,0.7167544060425727,0.8639203559903356,0.8449308121673743,0.7602546696077355,0.05000000000000001,10.0,0.05447723926440397,532.0,0.39762623050235263,0.4431946940215339,0.25638251440152543,6.351961263020834,0.1554147214441332,0,0
RandomPerfect_B10,0.5223446526054227,0.5398556934728634,0.5311309423371969,0.5128393224369445,0.526978872636849,0.26937556467427015,0.536073079685116,0.7310612100149633,0.5053122092588387,0.4800091163453715,0.48793830869580684,0.6717490913821839,0.7433477579318002,0.4923157803692839,0.8949476986313704,0.9455489820080436,0.08318715688298094,8.645763760710727,0.5339998722076416,0.11752984144101168,0.12292894037175418,0.7279628512176006,0.7857632411730551,0.7964081869892491,0.8030783999249402,0.10000000000000002,19.0,0.10404906029767239,530.6666666666666,0.20629402660587987,0.21073646566323792,0.10050879494149746,1.66492919921875,0.06081395184336361,0,0
RandomPerfect_B20,0.4203300112261482,0.45445425195950595,0.45352226280402685,0.35858250931337327,0.39137117151016365,0.16815440729653,0.45476913400358665,0.6775456612659572,0.4620686327305604,0.4462440619737755,0.4790099404354688,0.6476692297151473,0.6155916219832829,0.45390799502243034,0.9439427485469709,0.9720734075523767,0.06626645535796251,7.5540493474830495,0.335999870300293,0.2469062660103414,0.2679383825605845,0.7587722036108394,0.6422380766861299,0.6425377193190636,0.8610035145813338,0.20000000000000004,37.0,0.2030453753406522,541.1666666666666,0.09996688440801163,0.11530155673245762,0.04486994288700015,1.0239908854166666,0.032752525252525255,0,0
OraclePerfect_B05,1.0087136139687087,0.7791866466201759,4.184070141721963,1.6599584749354257,1.067642097068882,1.121311324738406,2.9666924577298435,0.8030497052874062,0.5458003421422271,0.5713250500138594,0.4617422432290001,0.6743175992228677,0.9676805848888841,0.5592197604966076,0.3628804226853941,0.22517832119989603,0.24693435701691852,11.965080016121677,3.255000448226929,0.009102931258535249,0.00913685800757876,0.7102727896959987,0.9442602127455411,0.9472708360365136,0.599421400065667,0.05000000000000001,10.0,0.006998950923111087,500.0,0.7080149869499468,0.9258945023717274,0.939849503769383,22.052079264322916,0.6948834988540872,0,0
OraclePerfect_B10,0.9460906597007146,0.5678037724189806,1.77626883475467,1.3698565362025117,0.9021692468898342,1.023878097074926,1.3040864959780385,0.6694200324924965,0.37868979798890684,0.4928811146190123,0.39435335516894227,0.6435376339012782,0.8634240844474407,0.44177358710370385,0.4258155922266068,0.28354071787341545,0.4462956044835063,11.556608529142725,4.412999963760376,0.012977691569945897,0.013039823344508565,0.7314481505371869,0.9432588685127985,0.9259533906752668,0.6184985830769149,0.10000000000000002,19.0,0.1052982211637862,462.8333333333333,0.8280187165156412,0.9604358443592755,0.9386394653770831,21.36897989908854,0.6948834988540871,0,0
OraclePerfect_B20,0.8510124513109529,0.6352925021175958,3.40195280927085,1.1662846474965745,1.0450047014268744,0.9090847190274676,2.417402416369412,0.48175133508605317,0.2512638051109976,0.439026989504214,0.3190406834991942,0.6052796281646781,0.6927610902865344,0.3612993117875051,0.49002011122203976,0.3455042273667074,0.4575113809187125,13.106786983319433,4.993499898910523,0.01757104011153903,0.017667555883687427,0.7628331842110739,0.9432094830078246,0.9342389114593084,0.6165149693547791,0.20000000000000004,37.0,0.21546660949069998,509.8333333333333,0.8049285187139869,0.9401220051850685,0.9383892961828486,21.36897989908854,0.6948834988540871,0,0
