method,trajectory_h_rel_l2,trajectory_hu_rel_l2,trajectory_hv_rel_l2,trajectory_c_rel_l2,trajectory_ice_rel_l2,trajectory_dz_rel_l2,trajectory_momentum_rel_l2,change_region_h_rel_l2,change_region_hu_rel_l2,change_region_hv_rel_l2,change_region_c_rel_l2,change_region_ice_rel_l2,change_region_dz_rel_l2,change_region_momentum_rel_l2,mean_wet_iou,final_wet_iou,mixture_volume_relative_error,debris_front_mae_km,debris_front_final_error_km,newly_wet_iou,newly_wet_precision,newly_wet_recall,false_positive_wet_fraction,wet_overprediction_ratio,front_zone_h_rel_l2,front_zone_momentum_rel_l2,front_zone_wet_iou,budget_fraction,selected_patch_count,active_cell_coverage_fraction,arrival_MAE_s,peak_Q_relative_error,peak_Qdebris_relative_error,peak_hmax_relative_error,peak_stage_absolute_error,wet_width_relative_error,missed_arrival_count,truth_no_arrival_count
FrozenGlobal,1.00869693137439,0.7800033998307074,4.169364691207173,1.6621865827565692,1.0698482030292855,1.1218518706588754,2.956730982348409,0.803065479947209,0.546030767909166,0.571216399607337,0.46165991907852616,0.674336341052938,0.967675557177526,0.5592700003173806,0.3597991380067261,0.22046705190667595,0.246521449200047,11.912151311910051,3.2430004596710207,0.00902048627235453,0.009053786610531899,0.7103560207245261,0.5879595951480222,1.6367272800870993,0.9443113950554108,0.9478701963785664,0.5995450180749666,0.0,0.0,0.0,501.8333333333333,0.7023555156402953,0.9271843836803678,0.9398868147586347,22.051678466796876,0.6982168321874203,0,0
LearnedRandom_B10,0.8852599286757956,0.7603879409681199,3.6486501376313454,1.1747374817919414,0.9150766693217038,1.0544852833441094,2.601424677897797,0.7557155520247494,0.5389140430296031,0.5057411370825246,0.4391028798531161,0.6545178769721763,0.966980411739008,0.521925825477275,0.2456723685819769,0.2074717489138913,0.18556061677097838,13.775138742258253,4.462500143051147,0.004278414256095204,0.004281477589058152,0.8567281882685865,0.7531182974636581,3.2400548911038447,0.9047867417693178,1.1764841480884944,0.24868068216898348,0.10000000000000002,19.0,0.10404906029767239,543.0,0.6455869622546652,0.6770480958345785,0.6003061803465283,19.846553548177084,2.186074328721388,0,0
RandomPerfect_B10,0.5223446526054227,0.5398556934728634,0.5311309423371969,0.5128393224369445,0.526978872636849,0.26937556467427015,0.536073079685116,0.7310612100149633,0.5053122092588387,0.4800091163453715,0.48793830869580684,0.6717490913821839,0.7433477579318002,0.4923157803692839,0.8949476986313704,0.9455489820080436,0.08318715688298094,8.645763760710727,0.5339998722076416,0.11752984144101168,0.12292894037175418,0.7279628512176006,0.06873525319126,1.0150935326841477,0.7857632411730551,0.7964081869892491,0.8030783999249402,0.10000000000000002,19.0,0.10404906029767239,530.6666666666666,0.20629402660587987,0.21073646566323792,0.10050879494149746,1.66492919921875,0.06081395184336361,0,0
LearnedRandom_B20,0.9620749052567719,0.8194553173786938,4.226257693069788,1.0654113543751313,0.9090425162699773,1.023517305956855,3.003740580703445,0.7273643286733558,0.5544164225577153,0.4935312607511641,0.4372982631574927,0.6786650313783197,0.9680007464291457,0.5236376213307162,0.1884544395403313,0.15260212298669304,0.5794155803867012,14.250096644100385,5.16600022315979,0.0030647819284561435,0.0030660043037082367,0.8848880195870353,0.8153696191089228,4.310815274853268,1.0167016299573004,1.6356676392772094,0.1669058462204493,0.20000000000000004,37.0,0.2030453753406522,566.0,2.4729831656420895,0.6079368551264274,0.5417215036197846,19.539029947916667,3.652367441926266,0,0
RandomPerfect_B20,0.4203300112261482,0.45445425195950595,0.45352226280402685,0.35858250931337327,0.39137117151016365,0.16815440729653,0.45476913400358665,0.6775456612659572,0.4620686327305604,0.4462440619737755,0.4790099404354688,0.6476692297151473,0.6155916219832829,0.45390799502243034,0.9439427485469709,0.9720734075523767,0.06626645535796251,7.5540493474830495,0.335999870300293,0.2469062660103414,0.2679383825605845,0.7587722036108394,0.030487963450373922,0.995900252766351,0.6422380766861299,0.6425377193190636,0.8610035145813338,0.20000000000000004,37.0,0.2030453753406522,541.1666666666666,0.09996688440801163,0.11530155673245762,0.04486994288700015,1.0239908854166666,0.032752525252525255,0,0
