method,mean_case_wall_runtime_seconds,total_worker_wall_runtime_seconds,mean_selected_patch_count,mean_active_coverage,mean_support_fraction,mean_blocked_local_change_fraction
FrozenGlobal,13.16020850000059,263.2041700000118,0.0,0.0,0.0,0.0
RandomAll_B10,26.26511720999988,525.3023441999976,19.0,0.1040490602976723,,
SupportRisk_Base_B10,25.94908476999917,518.9816953999834,19.0,0.0710470332947905,0.090848609505164,0.8757499844487527
RiskTemporal_B10,23.6522199250001,473.044398500002,19.0,0.0797778544590872,0.0908035127059121,0.8742791383491941
