global_step,stage,horizon,h_rel_l2,momentum_rel_l2,wet_iou,volume_rel_error,finite_fraction,validation_status
1000,STAGE_A,1,0.5206351354718208,1.0386677086353302,0.7853818535804749,0.2262032590806484,1.0,FINITE
1000,STAGE_A,2,0.5611162334680557,0.748600572347641,0.7811485156416893,0.2379972301423549,1.0,FINITE
1000,STAGE_A,4,0.8322864100337029,0.7768748104572296,0.7630580589175224,0.2953384565189481,1.0,FINITE
1000,STAGE_A,8,0.9682441055774688,0.8997121825814247,0.7007121667265892,0.3327298716176301,1.0,FINITE
1000,STAGE_A,16,1.0235480964183807,0.9475639835000038,0.5552913099527359,0.3665722223231569,1.0,FINITE
1000,STAGE_A,32,1.0444698184728622,0.9729454666376114,0.4189050830900669,0.4041724714334123,1.0,FINITE
1000,STAGE_A,64,1.0531970858573914,0.9895784631371498,0.3070019148290157,0.4483465691155288,1.0,FINITE
1000,STAGE_A,144,1.0561033487319946,1.4109766334295273,0.2031461298465728,0.5101281811302114,1.0,FINITE
2000,STAGE_A,1,0.4822644256055355,0.7517204880714417,0.8703101128339767,0.2286073490977287,1.0,FINITE
2000,STAGE_A,2,0.4774497598409652,0.5238258354365826,0.8686271235346794,0.1944058467634022,1.0,FINITE
2000,STAGE_A,4,0.7323325946927071,0.5528599247336388,0.8543316647410393,0.1821808947715908,1.0,FINITE
2000,STAGE_A,8,0.8817014023661613,0.6535964608192444,0.809304304420948,0.1541655924229417,1.0,FINITE
2000,STAGE_A,16,0.9616733342409134,0.7726458758115768,0.715036042034626,0.1066895903450273,1.0,FINITE
2000,STAGE_A,32,1.036049172282219,0.915437139570713,0.5596173480153084,0.0910994094896366,1.0,FINITE
2000,STAGE_A,64,1.0650412291288376,1.1646751314401629,0.4150870814919472,0.137859965925319,1.0,FINITE
2000,STAGE_A,144,1.0671964436769483,2.587574452161789,0.2971500866115093,0.2488180457098947,1.0,FINITE
3000,STAGE_B,1,0.4196599647402763,0.6593142002820969,0.8985526859760284,0.1183611080050468,1.0,FINITE
3000,STAGE_B,2,0.4204853363335132,0.4376858472824096,0.9000847041606903,0.1111353537999093,1.0,FINITE
3000,STAGE_B,4,0.6603575646877289,0.4388008043169975,0.889462061226368,0.0968782597337849,1.0,FINITE
3000,STAGE_B,8,0.7984171658754349,0.5717716440558434,0.8591379374265671,0.0742380890842469,1.0,FINITE
3000,STAGE_B,16,0.8896794244647026,0.6876479461789131,0.7827856540679932,0.0998592396126696,1.0,FINITE
3000,STAGE_B,32,0.9898415729403496,0.8721535205841064,0.6012167260050774,0.205283085593237,1.0,FINITE
3000,STAGE_B,64,1.0556518882513046,1.146989330649376,0.4213239140808582,0.1631218290532388,1.0,FINITE
3000,STAGE_B,144,1.0849907398223877,2.3842714428901672,0.282467495650053,0.1341261268664766,1.0,FINITE
4000,STAGE_B,1,0.4049475006759166,0.6129739284515381,0.9053768292069436,0.1015249945921823,1.0,FINITE
4000,STAGE_B,2,0.4212140142917633,0.430730503052473,0.9054773673415184,0.1182888654875569,1.0,FINITE
4000,STAGE_B,4,0.6415327936410904,0.3855940587818622,0.8972426205873489,0.1409793704224284,1.0,FINITE
4000,STAGE_B,8,0.7614101096987724,0.3890586905181408,0.8735545501112938,0.1312736430481891,1.0,FINITE
4000,STAGE_B,16,0.850777842104435,0.5107144564390182,0.8011274337768555,0.0933809839425521,1.0,FINITE
4000,STAGE_B,32,0.9429119303822516,0.7036278694868088,0.629375085234642,0.1007335834435707,1.0,FINITE
4000,STAGE_B,64,0.9976918175816536,0.8102675154805183,0.4499555304646492,0.0914781188279576,1.0,FINITE
4000,STAGE_B,144,1.0110893696546557,57.80746531486511,0.3120773248374462,0.1994121829574958,1.0,FINITE
5000,STAGE_C,1,0.3876450397074222,0.5935559570789337,0.929701253771782,0.0340086878509282,1.0,FINITE
5000,STAGE_C,2,0.390034444630146,0.3675883896648884,0.932777352631092,0.038368220510847,1.0,FINITE
5000,STAGE_C,4,0.5796347409486771,0.3250985667109489,0.924671284854412,0.0583023304701555,1.0,FINITE
5000,STAGE_C,8,0.6487138420343399,0.4149584248661995,0.8976172208786011,0.0513681453477943,1.0,FINITE
5000,STAGE_C,16,0.76382876932621,0.488411333411932,0.8238634914159775,0.0605616768603738,1.0,FINITE
5000,STAGE_C,32,0.9059609696269036,0.6306015178561211,0.6694756597280502,0.0668891491707626,1.0,FINITE
5000,STAGE_C,64,0.9798544272780418,0.7221163883805275,0.5001656077802181,0.098187541201149,1.0,FINITE
5000,STAGE_C,144,1.0090624392032623,11.00178688764572,0.3600386716425419,0.2410228369688809,1.0,FINITE
6000,STAGE_C,1,0.3779513612389564,0.6045587062835693,0.9346199259161948,0.0615840328391641,1.0,FINITE
6000,STAGE_C,2,0.3840194642543793,0.3596395365893841,0.9385018274188042,0.0597720515215769,1.0,FINITE
6000,STAGE_C,4,0.5452370420098305,0.3315799869596958,0.9280009120702744,0.065864512900589,1.0,FINITE
6000,STAGE_C,8,0.6049435883760452,0.4309233389794826,0.8895258456468582,0.0621831949974875,1.0,FINITE
6000,STAGE_C,16,0.7205788046121597,0.4791449345648289,0.771112285554409,0.058699650946437,1.0,FINITE
6000,STAGE_C,32,0.8710625618696213,0.6163642257452011,0.5779121145606041,0.0767162657748485,1.0,FINITE
6000,STAGE_C,64,0.9599707126617432,0.7718934863805771,0.4076272137463093,0.0610409038048374,1.0,FINITE
6000,STAGE_C,144,1.0051581859588623,6841.5911865234375,0.2834426052868366,0.1135070937741349,1.0,FINITE
8000,STAGE_C,1,0.3638381324708462,0.568371593952179,0.9192179217934608,0.0394169321807567,1.0,FINITE
8000,STAGE_C,2,0.380143404006958,0.3477469161152839,0.9217259362339972,0.0369643251906381,1.0,FINITE
8000,STAGE_C,4,0.4632121436297893,0.3232022859156132,0.9152535498142242,0.0505114171319291,1.0,FINITE
8000,STAGE_C,8,0.5101577192544937,0.3085890263319015,0.9009800180792809,0.0409814127506251,1.0,FINITE
8000,STAGE_C,16,0.6592576578259468,0.3854911066591739,0.8358133137226105,0.046258423252766,1.0,FINITE
8000,STAGE_C,32,0.857512041926384,0.549414336681366,0.6840239018201828,0.0423851267348709,1.0,FINITE
8000,STAGE_C,64,0.9543552100658416,0.8879300430417061,0.5058518759906292,0.0674004066161444,1.0,FINITE
8000,STAGE_C,144,1.0034910961985588,8.712713599205017,0.3452835381031036,0.1819098935000435,1.0,FINITE
9000,STAGE_D,1,0.3666563220322132,0.5386275947093964,0.9314566031098366,0.0290014336496824,1.0,FINITE
9000,STAGE_D,2,0.3613340146839618,0.2954891435801983,0.932778649032116,0.02430590455333,1.0,FINITE
9000,STAGE_D,4,0.4730218723416328,0.2773157842457294,0.9250174462795258,0.0181094668168952,1.0,FINITE
9000,STAGE_D,8,0.4927934370934963,0.2623740471899509,0.907641738653183,0.0174963997715167,1.0,FINITE
9000,STAGE_D,16,0.6254408806562424,0.3480999656021595,0.8448024913668633,0.0560558158108506,1.0,FINITE
9000,STAGE_D,32,0.8306169807910919,0.4988426119089126,0.7036426961421967,0.08581410573629,1.0,FINITE
9000,STAGE_D,64,0.9395149722695352,0.7926488518714905,0.5378253534436226,0.0713843920870829,1.0,FINITE
9000,STAGE_D,144,0.9993162155151368,8.597825109958649,0.3772986643016338,0.144130668220277,1.0,FINITE
10000,STAGE_D,1,0.3643806278705597,0.5309437625110149,0.9213157370686532,0.0477118550334125,1.0,FINITE
10000,STAGE_D,2,0.3623711876571178,0.294463187456131,0.9206343367695808,0.0376615438144654,1.0,FINITE
10000,STAGE_D,4,0.4625995978713035,0.2671779245138168,0.9121491238474846,0.0392055026022717,1.0,FINITE
10000,STAGE_D,8,0.4760899469256401,0.2531151156872511,0.8948725834488869,0.0470711827219929,1.0,FINITE
10000,STAGE_D,16,0.6100775003433228,0.3478726930916309,0.835147425532341,0.0432394666931941,1.0,FINITE
10000,STAGE_D,32,0.8050222620368004,0.4867721758782863,0.7002550587058067,0.0362784387079955,1.0,FINITE
