checkpoint_update,patch_type,sample_count,positive_improvement_rate,strong_positive_rate,harmful_rate,severely_harmful_rate,mean_relative_improvement,median_relative_improvement,fp_reduction
2000,FALSE_POSITIVE_WET,192,0.5052083333333334,0.296875,0.4166666666666667,0.13541666666666666,0.009542345009792848,0.0030431913831525364,-157.10249354395953
2000,HIGH_ERROR,192,0.6197916666666666,0.5364583333333334,0.3489583333333333,0.3020833333333333,-0.32810785697979694,0.2846144869580035,-7.411458333333333
2000,RANDOM,192,0.5885416666666666,0.53125,0.3854166666666667,0.3489583333333333,-1.3064497962223756,0.24422067635151823,-193.92471287393164
4000,FALSE_POSITIVE_WET,192,0.8958333333333334,0.671875,0.08333333333333333,0.03125,0.2593914765569473,0.273614145347699,-6.997064294183256
4000,HIGH_ERROR,192,0.5104166666666666,0.390625,0.4427083333333333,0.3541666666666667,-0.4637906109674863,0.011054576036540645,-9.369791666666666
4000,RANDOM,192,0.5833333333333334,0.4739583333333333,0.3854166666666667,0.328125,-0.8152275287813687,0.1710907072337362,-21.948150373931625
6000,FALSE_POSITIVE_WET,192,0.8125,0.6354166666666666,0.15104166666666666,0.09375,0.21264243297877447,0.25869250266087207,-39.16149796289604
6000,HIGH_ERROR,192,0.14583333333333334,0.052083333333333336,0.8385416666666666,0.7395833333333334,-1.1091216905521846,-0.5804521569814318,-21.109375
6000,RANDOM,192,0.3125,0.21354166666666666,0.6614583333333334,0.5885416666666666,-1.9133209875810504,-0.3872014593306945,-65.39379674145299
